Unnamed: 0,Unnamed: 1,Unnamed: 2,V1 Easting,V1 Northing,V1 Bottom Speed,Area
2023-09-10 04:49:42.386800896,04:49:42.386801,1731.0,423914.90196614,531039.12952964,2.13236559,South
2023-09-10 04:49:49.779799040,04:49:49.779799,1732.0,423914.90730933,531023.3465554,2.13266988,South
2023-09-10 04:50:01.000000000,04:50:01.000000,1733.0,423914.88140736,530999.43528526,2.12980453,South
2023-09-10 04:50:13.120800000,04:50:13.120800,1735.0,423914.69786193,530973.51042907,2.13730803,South
2023-09-10 04:50:24.000000000,04:50:24.000000,1736.0,423914.58299103,530950.24863403,2.1365473,South
2023-09-10 04:50:32.000000000,04:50:32.000000,1736.0,423914.40265039,530933.14535492,2.14178052,South
2023-09-10 04:50:44.241800192,04:50:44.241800,1738.0,423914.40962133,530907.21469276,2.12054938,South
2023-09-10 04:50:52.021799936,04:50:52.021800,1738.0,423913.88223997,530891.0898072,2.08702104,South
2023-09-10 04:51:03.000000000,04:51:03.000000,1740.0,423913.00375695,530868.67146957,2.06594095,South
2023-09-10 04:51:11.500000000,04:51:11.500000,1740.0,423913.01411262,530851.7167424,2.0196973,South
2023-09-10 04:51:23.142800128,04:51:23.142800,1742.0,423912.83939824,530828.45220459,1.99690842,South
2023-09-10 04:51:30.922800128,04:51:30.922800,1742.0,423912.48929054,530813.257285,1.97230931,South
2023-09-10 04:51:42.000000000,04:51:42.000000,1743.0,423912.41165592,530791.75513733,1.94123897,South
2023-09-10 04:51:53.000000000,04:51:53.000000,1744.0,423912.38745993,530770.52365196,1.92380564,South
2023-09-10 04:52:02.043800064,04:52:02.043800,1745.0,423912.36435261,530753.25858581,1.91519139,South
2023-09-10 04:52:13.000000000,04:52:13.000000,1747.0,423912.47460854,530732.47992027,1.89185346,South
2023-09-10 04:52:24.000000000,04:52:24.000000,1748.0,423912.5566571,530711.85425079,1.87679681,South
2023-09-10 04:52:34.000000000,04:52:34.000000,1749.0,423912.63528027,530693.50441063,1.84826897,South
2023-09-10 04:52:43.500000000,04:52:43.500000,1749.0,423912.77906982,530676.01524628,1.84713903,South
2023-09-10 04:52:53.000000000,04:52:53.000000,1750.0,423912.95296051,530659.02444351,1.80435938,South
2023-09-10 04:53:03.000000000,04:53:03.000000,1751.0,423913.10616044,530641.03018654,1.79293396,South
2023-09-10 04:53:15.500000000,04:53:15.500000,1753.0,423913.26170599,530618.60546768,1.78508971,South
2023-09-10 04:53:24.500000000,04:53:24.500000,1754.0,423913.34115394,530602.58251274,1.77689363,South
2023-09-10 04:53:33.500000000,04:53:33.500000,1754.0,423913.39941617,530586.70840347,1.76906932,South
2023-09-10 04:53:43.000000000,04:53:43.000000,1755.0,423913.44238948,530570.14858902,1.75531191,South
2023-09-10 04:53:53.000000000,04:53:53.000000,1756.0,423913.46350459,530552.75528992,1.75666602,South
2023-09-10 04:54:02.500000000,04:54:02.500000,1757.0,423913.57332981,530536.42310036,1.72943839,South
2023-09-10 04:54:15.500000000,04:54:15.500000,1759.0,423913.60472148,530513.94697273,1.73000437,South
2023-09-10 04:54:24.500000000,04:54:24.500000,1760.0,423913.72743543,530498.43169843,1.72081853,South
2023-09-10 04:54:33.500000000,04:54:33.500000,1760.0,423913.79946138,530482.82672654,1.72912244,South
2023-09-10 04:54:43.500000000,04:54:43.500000,1761.0,423913.85297315,530465.56940232,1.72728071,South
2023-09-10 04:54:53.500000000,04:54:53.500000,1762.0,423914.07292898,530448.32273637,1.7284321,South
2023-09-10 04:55:03.500000000,04:55:03.500000,1763.0,423914.04881032,530431.18588983,1.71163809,South
2023-09-10 04:55:13.500000000,04:55:13.500000,1764.0,423913.92316264,530413.92221795,1.71480587,South
2023-09-10 04:55:23.500000000,04:55:23.500000,1765.0,423913.87918844,530396.46693574,1.72845229,South
2023-09-10 04:55:33.500000000,04:55:33.500000,1766.0,423913.97935426,530378.98110353,1.74713009,South
2023-09-10 04:55:43.500000000,04:55:43.500000,1767.0,423913.92349778,530361.50765954,1.75303483,South
2023-09-10 04:55:53.500000000,04:55:53.500000,1768.0,423913.80758642,530344.1254345,1.74980624,South
2023-09-10 04:56:03.000000000,04:56:03.000000,1769.0,423913.78608333,530327.65900003,1.73959108,South
2023-09-10 04:56:12.500000000,04:56:12.500000,1770.0,423913.72607934,530311.16100656,1.73684268,South
2023-09-10 04:56:22.500000000,04:56:22.500000,1771.0,423913.63794578,530293.77801477,1.73966534,South
2023-09-10 04:56:32.500000000,04:56:32.500000,1772.0,423913.63979499,530276.35475122,1.74190998,South
2023-09-10 04:56:42.500000000,04:56:42.500000,1773.0,423913.74639927,530258.99013101,1.73668063,South
2023-09-10 04:56:52.500000000,04:56:52.500000,1774.0,423913.77455023,530241.57889138,1.74525123,South
2023-09-10 04:57:02.000000000,04:57:02.000000,1775.0,423913.80765523,530225.05720674,1.74252496,South
2023-09-10 04:57:15.000000000,04:57:15.000000,1777.0,423913.94273609,530202.45730363,1.74383251,South
2023-09-10 04:57:24.500000000,04:57:24.500000,1778.0,423914.01294996,530185.93814431,1.74534659,South
2023-09-10 04:57:33.500000000,04:57:33.500000,1778.0,423914.05689317,530170.32636891,1.73520284,South
2023-09-10 04:57:42.500000000,04:57:42.500000,1779.0,423914.02554499,530154.75642508,1.73328161,South
2023-09-10 04:57:52.500000000,04:57:52.500000,1780.0,423913.99964191,530137.38669509,1.73839544,South
2023-09-10 04:58:02.000000000,04:58:02.000000,1781.0,423914.13489207,530120.98041648,1.72492894,South
2023-09-10 04:58:14.500000000,04:58:14.500000,1783.0,423914.15951134,530099.27439612,1.73065116,South
2023-09-10 04:58:17.500000000,04:58:17.500000,1783.0,423914.12034705,530094.04650134,1.73545298,South
2023-09-10 04:58:32.690800896,04:58:32.690801,1784.0,423914.26420678,530067.6987688,1.73375092,South
2023-09-10 04:58:39.742800896,04:58:39.742801,1785.0,423914.2791122,530055.42317695,1.7387754,South
2023-09-10 04:58:53.984801024,04:58:53.984801,1786.0,423914.36197171,530030.8295452,1.73128891,South
2023-09-10 04:59:00.890800896,04:59:00.890801,1787.0,423914.36032924,530018.87375945,1.73474202,South
2023-09-10 04:59:14.849800960,04:59:14.849801,1789.0,423914.52650731,529994.87067145,1.72579097,South
2023-09-10 04:59:21.951801088,04:59:21.951801,1789.0,423914.70491553,529982.69615382,1.71947277,South
2023-09-10 04:59:28.809801216,04:59:28.809801,1790.0,423914.85053955,529970.82313746,1.7244511,South
2023-09-10 04:59:42.682800896,04:59:42.682801,1791.0,423915.18949013,529947.02943438,1.71045151,South
2023-09-10 04:59:49.307801088,04:59:49.307801,1792.0,423915.38063658,529935.59840411,1.71655315,South
2023-09-10 05:00:03.712801024,05:00:03.712801,1793.0,423915.80854237,529910.57722682,1.73207914,South
2023-09-10 05:00:10.237800960,05:00:10.237801,1794.0,423915.94591503,529899.28242606,1.73120341,South
2023-09-10 05:00:24.708801024,05:00:24.708801,1796.0,423916.06155788,529874.30229682,1.73026295,South
