Unnamed: 0,Unnamed: 1,Unnamed: 2,V1 Easting,V1 Northing,V1 Bottom Speed,Area
2023-09-14 14:29:36.072801024,14:29:36.072801,5203.0,426632.03734127,531037.32665468,1.93376415,South
2023-09-14 14:29:50.000000000,14:29:50.000000,5204.0,426631.82361378,531010.17312646,1.94517126,South
2023-09-14 14:29:59.000000000,14:29:59.000000,5205.0,426631.67407066,530992.61804224,1.94698192,South
2023-09-14 14:30:09.819799040,14:30:09.819799,5206.0,426631.58049243,530971.55130601,1.94823203,South
2023-09-14 14:30:21.500000000,14:30:21.500000,5208.0,426631.54401897,530948.80099321,1.94808201,South
2023-09-14 14:30:30.000000000,14:30:30.000000,5208.0,426631.54167877,530932.19978738,1.95304231,South
2023-09-14 14:30:39.500000000,14:30:39.500000,5209.0,426631.76736826,530913.85614801,1.93447536,South
2023-09-14 14:30:51.500000000,14:30:51.500000,5211.0,426631.09368932,530890.58622766,1.94398748,South
2023-09-14 14:31:01.299799040,14:31:01.299799,5212.0,426630.93779163,530871.40948892,1.95868136,South
2023-09-14 14:31:09.879800064,14:31:09.879800,5212.0,426631.26214285,530854.67518068,1.94895838,South
2023-09-14 14:31:22.000000000,14:31:22.000000,5214.0,426630.95944963,530830.89858461,1.9604794,South
2023-09-14 14:31:30.500000000,14:31:30.500000,5214.0,426630.8563201,530814.70546556,1.91657175,South
2023-09-14 14:31:39.000000000,14:31:39.000000,5215.0,426630.89067568,530798.92593599,1.88408609,South
2023-09-14 14:31:51.000000000,14:31:51.000000,5217.0,426630.76465847,530778.1872542,1.759564,South
2023-09-14 14:32:01.359800064,14:32:01.359800,5217.0,426630.23731162,530760.72164369,1.69738353,South
2023-09-14 14:32:09.939800064,14:32:09.939800,5218.0,426629.59110464,530746.87283826,1.65226791,South
2023-09-14 14:32:18.519799040,14:32:18.519799,5219.0,426628.96404876,530733.07058918,1.62232251,South
2023-09-14 14:32:30.500000000,14:32:30.500000,5220.0,426628.15648945,530714.10958111,1.63015554,South
2023-09-14 14:32:39.500000000,14:32:39.500000,5221.0,426627.33870651,530700.32779896,1.56546525,South
2023-09-14 14:32:49.500000000,14:32:49.500000,5222.0,426626.29871394,530684.82762062,1.55725781,South
2023-09-14 14:33:02.500000000,14:33:02.500000,5224.0,426624.94065215,530664.65249931,1.5436869,South
2023-09-14 14:33:09.000000000,14:33:09.000000,5224.0,426624.35029377,530654.49707424,1.54958945,South
2023-09-14 14:33:22.000000000,14:33:22.000000,5226.0,426623.32647933,530634.32079517,1.54277656,South
2023-09-14 14:33:31.500000000,14:33:31.500000,5227.0,426622.67379083,530619.39943802,1.56302081,South
2023-09-14 14:33:41.000000000,14:33:41.000000,5228.0,426622.21052067,530604.60625183,1.56174445,South
2023-09-14 14:33:51.000000000,14:33:51.000000,5229.0,426621.62470161,530588.81311047,1.59875367,South
2023-09-14 14:34:00.500000000,14:34:00.500000,5229.0,426621.24158754,530574.02619278,1.56460298,South
