Unnamed: 0,Unnamed: 1,Unnamed: 2,V1 Easting,V1 Northing,V1 Bottom Speed,Area
2023-09-11 07:35:00.376801024,07:35:00.376801,2721.0,424499.90020597,531038.77345854,1.93247503,South
2023-09-11 07:35:08.488800000,07:35:08.488800,2722.0,424499.8284782,531023.11342627,1.93243749,South
2023-09-11 07:35:23.500000000,07:35:23.500000,2724.0,424499.78400882,530994.09742361,1.92515996,South
2023-09-11 07:35:32.000000000,07:35:32.000000,2724.0,424499.54211866,530977.66098982,1.93915306,South
2023-09-11 07:35:42.445800192,07:35:42.445800,2725.0,424499.34049297,530957.36137968,1.94324827,South
2023-09-11 07:35:54.000000000,07:35:54.000000,2727.0,424499.36910198,530934.98046499,1.93390025,South
2023-09-11 07:36:02.500000000,07:36:02.500000,2727.0,424498.23851929,530919.02331644,1.8967737,South
2023-09-11 07:36:11.000000000,07:36:11.000000,2728.0,424496.76860307,530903.03436762,1.90129973,South
2023-09-11 07:36:22.500000000,07:36:22.500000,2729.0,424494.88753531,530881.81027895,1.86167208,South
2023-09-11 07:36:33.381798912,07:36:33.381799,2731.0,424492.61104582,530861.79284197,1.85257593,South
2023-09-11 07:36:41.870800128,07:36:41.870800,2731.0,424490.76592122,530846.20945841,1.84878655,South
2023-09-11 07:36:53.500000000,07:36:53.500000,2733.0,424488.90820978,530824.57183939,1.85645758,South
2023-09-11 07:37:02.000000000,07:37:02.000000,2733.0,424487.4053478,530808.78494459,1.86509182,South
2023-09-11 07:37:14.000000000,07:37:14.000000,2735.0,424486.01668022,530786.66767889,1.85311607,South
2023-09-11 07:37:22.500000000,07:37:22.500000,2735.0,424484.85484443,530770.828785,1.86393621,South
2023-09-11 07:37:32.805798912,07:37:32.805799,2736.0,424483.34697566,530751.73604017,1.86002288,South
2023-09-11 07:37:41.294800128,07:37:41.294800,2737.0,424482.14047943,530735.81944948,1.8764883,South
2023-09-11 07:37:53.000000000,07:37:53.000000,2739.0,424480.90259681,530713.86179644,1.87613912,South
2023-09-11 07:38:03.000000000,07:38:03.000000,2740.0,424480.16721914,530695.34749704,1.86395607,South
2023-09-11 07:38:12.500000000,07:38:12.500000,2740.0,424479.7770699,530677.96622597,1.83257044,South
2023-09-11 07:38:22.000000000,07:38:22.000000,2741.0,424479.43461967,530660.38772904,1.84099021,South
2023-09-11 07:38:31.500000000,07:38:31.500000,2742.0,424479.05084691,530642.77181183,1.8434502,South
2023-09-11 07:38:41.000000000,07:38:41.000000,2743.0,424478.52995018,530625.06262528,1.85667134,South
2023-09-11 07:38:53.500000000,07:38:53.500000,2745.0,424477.3944513,530601.59645211,1.87539639,South
