Unnamed: 0,Unnamed: 1,Unnamed: 2,V1 Easting,V1 Northing,V1 Bottom Speed,Area
2023-09-14 00:05:14.022799104,00:05:14.022799,30.0,413699.12857316,612905.5477283,2.36168833,North
2023-09-14 00:05:24.500000000,00:05:24.500000,31.0,413699.19567228,612930.1580379,2.35155714,North
2023-09-14 00:05:35.092798976,00:05:35.092799,32.0,413699.2992524,612955.09453082,2.35603501,North
2023-09-14 00:05:46.000000000,00:05:46.000000,34.0,413699.26767993,612980.7283771,2.35365191,North
2023-09-14 00:05:56.161798912,00:05:56.161799,35.0,413699.44379569,613004.67354655,2.35344302,North
2023-09-14 00:06:06.500000000,00:06:06.500000,36.0,413699.67474767,613029.00445056,2.35108478,North
2023-09-14 00:06:14.000000000,00:06:14.000000,36.0,413699.77648175,613046.6423595,2.35192969,North
2023-09-14 00:06:24.253798912,00:06:24.253799,37.0,413699.93329478,613070.64897418,2.34328157,North
2023-09-14 00:06:34.500000000,00:06:34.500000,38.0,413700.15987021,613094.5929668,2.33520375,North
2023-09-14 00:06:45.323800064,00:06:45.323800,39.0,413700.41504449,613120.01128875,2.345054,North
2023-09-14 00:06:56.000000000,00:06:56.000000,41.0,413700.54020937,613145.06538116,2.34951889,North
2023-09-14 00:07:06.392800000,00:07:06.392800,42.0,413700.68684985,613169.50501357,2.3558466,North
2023-09-14 00:07:16.500000000,00:07:16.500000,43.0,413700.72495643,613193.29708205,2.35403971,North
2023-09-14 00:07:24.000000000,00:07:24.000000,43.0,413700.74924987,613210.93537246,2.35345369,North
2023-09-14 00:07:34.500000000,00:07:34.500000,44.0,413700.84241664,613235.63329993,2.35236893,North
2023-09-14 00:07:47.000000000,00:07:47.000000,46.0,413700.7201628,613265.05261909,2.3546812,North
2023-09-14 00:07:56.500000000,00:07:56.500000,47.0,413700.5928281,613287.37576972,2.34874841,North
2023-09-14 00:08:06.000000000,00:08:06.000000,48.0,413700.31399802,613309.43002235,2.3353402,North
2023-09-14 00:08:16.000000000,00:08:16.000000,49.0,413699.96284766,613332.55800162,2.33536164,North
2023-09-14 00:08:26.000000000,00:08:26.000000,50.0,413699.67763353,613355.65859519,2.31959575,North
2023-09-14 00:08:35.000000000,00:08:35.000000,50.0,413699.66600814,613376.41276847,2.30012593,North
2023-09-14 00:08:44.500000000,00:08:44.500000,51.0,413699.81999792,613398.29195701,2.29767522,North
2023-09-14 00:08:54.500000000,00:08:54.500000,52.0,413700.07731797,613421.24457465,2.30024398,North
2023-09-14 00:09:04.500000000,00:09:04.500000,53.0,413700.44162278,613444.19700538,2.31626004,North
2023-09-14 00:09:14.500000000,00:09:14.500000,54.0,413700.81694846,613466.99602996,2.29350513,North
2023-09-14 00:09:24.500000000,00:09:24.500000,55.0,413701.29406618,613490.01237403,2.30042738,North
2023-09-14 00:09:34.500000000,00:09:34.500000,56.0,413701.61371116,613513.02245246,2.29996389,North
2023-09-14 00:09:46.500000000,00:09:46.500000,58.0,413702.00396822,613540.58878051,2.29236854,North
2023-09-14 00:09:56.000000000,00:09:56.000000,59.0,413702.34157555,613562.10513602,2.26611503,North
2023-09-14 00:10:06.000000000,00:10:06.000000,60.0,413702.5108529,613584.81089562,2.27309039,North
2023-09-14 00:10:15.500000000,00:10:15.500000,60.0,413702.72065538,613606.36448448,2.27260906,North
2023-09-14 00:10:24.500000000,00:10:24.500000,61.0,413702.91860974,613626.8824765,2.27407954,North
2023-09-14 00:10:34.500000000,00:10:34.500000,62.0,413703.15380587,613649.789478,2.29211399,North
2023-09-14 00:10:47.000000000,00:10:47.000000,64.0,413703.23899154,613678.23741501,2.28048982,North
2023-09-14 00:10:57.000000000,00:10:57.000000,65.0,413703.33745915,613700.99986046,2.27441172,North
2023-09-14 00:11:06.500000000,00:11:06.500000,66.0,413703.32382705,613722.70367783,2.27794701,North
2023-09-14 00:11:15.500000000,00:11:15.500000,66.0,413703.26671639,613743.26296204,2.28490645,North
2023-09-14 00:11:24.500000000,00:11:24.500000,67.0,413703.13485972,613763.75568932,2.27503508,North
2023-09-14 00:11:37.000000000,00:11:37.000000,69.0,413702.92814745,613792.28426331,2.28153864,North
2023-09-14 00:11:47.000000000,00:11:47.000000,70.0,413702.74704122,613815.0620858,2.2749002,North
2023-09-14 00:11:57.000000000,00:11:57.000000,71.0,413702.60416894,613837.83268135,2.27473726,North
2023-09-14 00:12:06.500000000,00:12:06.500000,72.0,413702.4560674,613859.29955261,2.26416531,North
2023-09-14 00:12:16.000000000,00:12:16.000000,73.0,413702.33911904,613880.61535423,2.26412798,North
2023-09-14 00:12:25.500000000,00:12:25.500000,73.0,413702.17919407,613901.78909081,2.23571656,North
2023-09-14 00:12:35.500000000,00:12:35.500000,74.0,413702.3014792,613924.26636665,2.245176,North
2023-09-14 00:12:44.500000000,00:12:44.500000,75.0,413702.52202646,613944.48588341,2.24563957,North
2023-09-14 00:12:57.000000000,00:12:57.000000,77.0,413702.81974049,613972.67530792,2.25516531,North
2023-09-14 00:13:06.500000000,00:13:06.500000,77.0,413703.13576762,613994.10935181,2.25690249,North
2023-09-14 00:13:16.500000000,00:13:16.500000,78.0,413703.38630144,614016.69111984,2.25917127,North
2023-09-14 00:13:25.500000000,00:13:25.500000,79.0,413703.57648234,614037.04023408,2.26156764,North
2023-09-14 00:13:35.500000000,00:13:35.500000,80.0,413703.7131207,614059.64207696,2.25969432,North
2023-09-14 00:13:47.500000000,00:13:47.500000,82.0,413703.84270467,614086.55843782,2.24327256,North
2023-09-14 00:13:57.000000000,00:13:57.000000,83.0,413703.91924624,614107.63600206,2.22588907,North
2023-09-14 00:14:06.500000000,00:14:06.500000,83.0,413703.85477283,614128.70031976,2.22384317,North
2023-09-14 00:14:16.063055104,00:14:16.063055,84.0,413703.86051117,614149.91827249,2.22942856,North
2023-09-14 00:14:25.500000000,00:14:25.500000,85.0,413703.83974751,614170.76729249,2.21486402,North
2023-09-14 00:14:35.500000000,00:14:35.500000,86.0,413703.76475043,614192.97800874,2.22094804,North
2023-09-14 00:14:45.000000000,00:14:45.000000,87.0,413703.58771502,614214.10924768,2.22407405,North
2023-09-14 00:14:57.500000000,00:14:57.500000,89.0,413703.34101651,614241.93775415,2.226655,North
2023-09-14 00:15:06.500000000,00:15:06.500000,89.0,413703.09819597,614262.05979967,2.23494072,North
2023-09-14 00:15:16.500000000,00:15:16.500000,90.0,413702.90956978,614284.45178079,2.2453344,North
2023-09-14 00:15:25.500000000,00:15:25.500000,91.0,413702.66171015,614304.56308603,2.23686291,North
2023-09-14 00:15:35.500000000,00:15:35.500000,92.0,413702.44227786,614326.98245859,2.24141541,North
2023-09-14 00:15:45.000000000,00:15:45.000000,93.0,413702.18811036,614348.22712373,2.23812201,North
2023-09-14 00:15:57.500000000,00:15:57.500000,95.0,413701.90519617,614376.21924638,2.23856785,North
2023-09-14 00:16:06.500000000,00:16:06.500000,95.0,413701.72945071,614396.31347322,2.23555021,North
2023-09-14 00:16:16.063246080,00:16:16.063246,96.0,413701.51009503,614417.68180704,2.2424917,North
2023-09-14 00:16:25.500000000,00:16:25.500000,97.0,413701.38861206,614438.71021509,2.23178851,North
2023-09-14 00:16:38.000000000,00:16:38.000000,99.0,413701.17909006,614466.60531473,2.23069995,North
2023-09-14 00:16:44.500000000,00:16:44.500000,99.0,413701.0525819,614481.06694455,2.22824081,North
2023-09-14 00:16:57.000000000,00:16:57.000000,101.0,413700.87871758,614508.9366364,2.23205101,North
2023-09-14 00:17:06.000000000,00:17:06.000000,101.0,413700.84222242,614529.00899548,2.23225531,North
2023-09-14 00:17:18.500000000,00:17:18.500000,103.0,413700.67917376,614556.87074704,2.23222188,North
2023-09-14 00:17:27.500000000,00:17:27.500000,104.0,413700.59885972,614576.94801755,2.22947637,North
2023-09-14 00:17:37.500000000,00:17:37.500000,105.0,413700.4877851,614599.34830327,2.24046472,North
2023-09-14 00:17:47.000000000,00:17:47.000000,106.0,413700.3727396,614620.66568989,2.24675437,North
2023-09-14 00:17:57.000000000,00:17:57.000000,107.0,413700.25343072,614643.06836361,2.24214134,North
2023-09-14 00:18:06.000000000,00:18:06.000000,107.0,413700.17287515,614663.31111378,2.25245529,North
2023-09-14 00:18:16.000000000,00:18:16.000000,108.0,413700.06151423,614685.77226491,2.25030708,North
2023-09-14 00:18:25.500000000,00:18:25.500000,109.0,413699.87712763,614707.14258809,2.24950314,North
2023-09-14 00:18:35.500000000,00:18:35.500000,110.0,413699.61860632,614729.61728329,2.24801127,North
2023-09-14 00:18:47.500000000,00:18:47.500000,112.0,413699.4334973,614756.47602887,2.23893906,North
2023-09-14 00:18:57.000000000,00:18:57.000000,113.0,413699.23523748,614777.77459378,2.24430868,North
2023-09-14 00:19:06.500000000,00:19:06.500000,113.0,413699.13629505,614798.90301365,2.22903356,North
2023-09-14 00:19:16.500000000,00:19:16.500000,114.0,413699.11576291,614821.18206067,2.23531274,North
2023-09-14 00:19:25.500000000,00:19:25.500000,115.0,413699.05505552,614841.15051503,2.22362373,North
2023-09-14 00:19:35.500000000,00:19:35.500000,116.0,413698.940154,614863.34709782,2.22333236,North
2023-09-14 00:19:48.000000000,00:19:48.000000,118.0,413698.8756341,614891.03193898,2.21488016,North
2023-09-14 00:19:54.500000000,00:19:54.500000,118.0,413698.8542102,614905.43012757,2.21520485,North
2023-09-14 00:20:07.000000000,00:20:07.000000,120.0,413698.76405001,614933.14605886,2.21384998,North
2023-09-14 00:20:17.000000000,00:20:17.000000,121.0,413698.69382699,614955.33828336,2.21935269,North
2023-09-14 00:20:27.000000000,00:20:27.000000,122.0,413698.57961679,614977.43067533,2.20254269,North
2023-09-14 00:20:37.000000000,00:20:37.000000,123.0,413698.42259087,614999.27200872,2.17461694,North
2023-09-14 00:20:47.000000000,00:20:47.000000,124.0,413698.2430399,615021.3984583,2.20361861,North
2023-09-14 00:20:57.000000000,00:20:57.000000,125.0,413698.0192459,615043.33285505,2.19305889,North
2023-09-14 00:21:07.000000000,00:21:07.000000,126.0,413697.74124405,615065.3616789,2.21658858,North
2023-09-14 00:21:16.500000000,00:21:16.500000,126.0,413697.40058852,615086.26573163,2.23138758,North
2023-09-14 00:21:26.000000000,00:21:26.000000,127.0,413697.08191765,615107.42355519,2.22632066,North
2023-09-14 00:21:36.000000000,00:21:36.000000,128.0,413696.80426232,615129.91028959,2.24639601,North
2023-09-14 00:21:46.000000000,00:21:46.000000,129.0,413696.519341,615152.2583788,2.22501851,North
2023-09-14 00:21:56.000000000,00:21:56.000000,130.0,413696.28346386,615174.80620748,2.25523197,North
2023-09-14 00:22:06.000000000,00:22:06.000000,131.0,413696.02154972,615197.0970667,2.233309,North
2023-09-14 00:22:18.500000000,00:22:18.500000,133.0,413696.04838645,615225.45887548,2.2860462,North
2023-09-14 00:22:27.500000000,00:22:27.500000,133.0,413696.01637664,615245.45429212,2.21554664,North
2023-09-14 00:22:37.500000000,00:22:37.500000,134.0,413696.0682793,615267.79198438,2.22274182,North
2023-09-14 00:22:46.500000000,00:22:46.500000,135.0,413696.0431742,615287.99808484,2.23744537,North
2023-09-14 00:22:59.000000000,00:22:59.000000,137.0,413696.13763488,615316.0385645,2.23458326,North
2023-09-14 00:23:08.500000000,00:23:08.500000,138.0,413696.15220282,615337.38115293,2.24830002,North
2023-09-14 00:23:18.500000000,00:23:18.500000,139.0,413696.18316434,615360.16532308,2.31184784,North
2023-09-14 00:23:28.500000000,00:23:28.500000,140.0,413696.23687571,615382.79522025,2.29982151,North
2023-09-14 00:23:38.500000000,00:23:38.500000,141.0,413696.26168435,615405.26171004,2.25871386,North
2023-09-14 00:23:48.500000000,00:23:48.500000,142.0,413696.30995571,615427.73837745,2.24452238,North
2023-09-14 00:23:58.500000000,00:23:58.500000,143.0,413696.46689957,615450.13861739,2.24020006,North
2023-09-14 00:24:08.500000000,00:24:08.500000,144.0,413696.53280784,615472.43171393,2.22442249,North
2023-09-14 00:24:17.500000000,00:24:17.500000,144.0,413696.61275262,615492.37233626,2.2099884,North
2023-09-14 00:24:26.500000000,00:24:26.500000,145.0,413696.77833687,615512.52321898,2.23231082,North
2023-09-14 00:24:36.500000000,00:24:36.500000,146.0,413696.98293177,615534.83439528,2.22926732,North
2023-09-14 00:24:47.500000000,00:24:47.500000,147.0,413697.09951704,615559.20891654,2.21652294,North
2023-09-14 00:24:57.500000000,00:24:57.500000,148.0,413697.3000246,615581.42753493,2.21920737,North
2023-09-14 00:25:07.000000000,00:25:07.000000,149.0,413697.34492333,615602.28429877,2.188044,North
2023-09-14 00:25:16.500000000,00:25:16.500000,150.0,413697.44701789,615623.33614814,2.20250584,North
2023-09-14 00:25:28.500000000,00:25:28.500000,152.0,413697.60150255,615650.13638198,2.24242106,North
2023-09-14 00:25:38.000000000,00:25:38.000000,153.0,413697.66979278,615671.1052674,2.22016892,North
2023-09-14 00:25:47.500000000,00:25:47.500000,153.0,413697.69206415,615691.93150031,2.19589326,North
2023-09-14 00:25:57.500000000,00:25:57.500000,154.0,413697.85230288,615714.00234305,2.2049863,North
2023-09-14 00:26:06.500000000,00:26:06.500000,155.0,413697.96200708,615733.8907231,2.20667015,North
2023-09-14 00:26:16.500000000,00:26:16.500000,156.0,413697.98382509,615755.91593062,2.19292495,North
2023-09-14 00:26:28.500000000,00:26:28.500000,158.0,413698.07264558,615782.6035279,2.21387651,North
2023-09-14 00:26:38.000000000,00:26:38.000000,159.0,413698.14371556,615803.73688018,2.21549017,North
2023-09-14 00:26:48.000000000,00:26:48.000000,160.0,413698.13632365,615826.33387455,2.27208584,North
2023-09-14 00:26:57.500000000,00:26:57.500000,160.0,413698.16437074,615847.40693554,2.23438874,North
2023-09-14 00:27:07.000000000,00:27:07.000000,161.0,413698.24771013,615868.51262554,2.22431323,North
2023-09-14 00:27:17.000000000,00:27:17.000000,162.0,413698.29156865,615890.82691272,2.23477415,North
2023-09-14 00:27:26.500000000,00:27:26.500000,163.0,413698.52092082,615911.94257434,2.22398348,North
2023-09-14 00:27:36.500000000,00:27:36.500000,164.0,413698.72290263,615934.08147892,2.21244451,North
2023-09-14 00:27:49.000000000,00:27:49.000000,166.0,413699.09702803,615961.55612835,2.20023329,North
2023-09-14 00:27:58.500000000,00:27:58.500000,167.0,413699.37760381,615982.20940097,2.18342482,North
2023-09-14 00:28:07.500000000,00:28:07.500000,167.0,413699.58384773,616001.76792797,2.18275099,North
2023-09-14 00:28:17.063111168,00:28:17.063111,168.0,413699.76797644,616022.55123981,2.19291761,North
2023-09-14 00:28:27.000000000,00:28:27.000000,169.0,413700.20549599,616044.12890514,2.17219578,North
2023-09-14 00:28:36.000000000,00:28:36.000000,170.0,413700.34614369,616063.72467884,2.15683362,North
2023-09-14 00:28:46.000000000,00:28:46.000000,171.0,413700.4764951,616085.63809093,2.18741997,North
2023-09-14 00:28:56.000000000,00:28:56.000000,172.0,413700.71573521,616107.47826465,2.2005157,North
2023-09-14 00:29:09.500000000,00:29:09.500000,174.0,413700.75598268,616136.69462284,2.16434232,North
2023-09-14 00:29:18.500000000,00:29:18.500000,175.0,413700.84106508,616156.36833461,2.19516419,North
2023-09-14 00:29:28.000000000,00:29:28.000000,176.0,413700.79598855,616177.03915104,2.18400007,North
2023-09-14 00:29:37.500000000,00:29:37.500000,176.0,413700.94706051,616198.09903225,2.20883796,North
2023-09-14 00:29:48.000000000,00:29:48.000000,178.0,413700.95359824,616221.39832767,2.21801641,North
2023-09-14 00:29:57.500000000,00:29:57.500000,178.0,413700.91557553,616242.33102687,2.20961685,North
2023-09-14 00:30:07.500000000,00:30:07.500000,179.0,413700.88782642,616264.5433681,2.22183678,North
2023-09-14 00:30:17.500000000,00:30:17.500000,180.0,413700.8088594,616286.71888232,2.21738517,North
2023-09-14 00:30:29.500000000,00:30:29.500000,182.0,413700.84390653,616313.18144679,2.22133972,North
2023-09-14 00:30:39.000000000,00:30:39.000000,183.0,413700.8282238,616333.82375979,2.18514378,North
2023-09-14 00:30:48.500000000,00:30:48.500000,183.0,413700.88317049,616354.62428927,2.18821253,North
2023-09-14 00:30:58.500000000,00:30:58.500000,184.0,413700.95938121,616376.37479281,2.18478116,North
2023-09-14 00:31:07.500000000,00:31:07.500000,185.0,413701.07095282,616395.92531657,2.18115726,North
2023-09-14 00:31:17.500000000,00:31:17.500000,186.0,413701.15633633,616417.64798808,2.18371037,North
2023-09-14 00:31:29.500000000,00:31:29.500000,188.0,413701.03176936,616443.70499301,2.18237625,North
2023-09-14 00:31:39.000000000,00:31:39.000000,189.0,413700.95449269,616464.26231456,2.16371919,North
2023-09-14 00:31:48.500000000,00:31:48.500000,189.0,413700.84121157,616484.98656916,2.17339442,North
2023-09-14 00:31:58.000000000,00:31:58.000000,190.0,413700.61990128,616505.66780925,2.17502279,North
2023-09-14 00:32:07.500000000,00:32:07.500000,191.0,413700.40406687,616526.33887744,2.18089614,North
2023-09-14 00:32:17.500000000,00:32:17.500000,192.0,413700.26317468,616548.10344577,2.1856757,North
2023-09-14 00:32:29.500000000,00:32:29.500000,194.0,413700.02038504,616574.14278483,2.17986732,North
2023-09-14 00:32:39.500000000,00:32:39.500000,195.0,413699.85955122,616595.78330683,2.16556213,North
2023-09-14 00:32:49.500000000,00:32:49.500000,196.0,413699.74315814,616617.52208018,2.1686235,North
2023-09-14 00:32:59.000000000,00:32:59.000000,197.0,413699.6519819,616638.24610209,2.1780126,North
2023-09-14 00:33:08.500000000,00:33:08.500000,197.0,413699.57249765,616658.89685893,2.17651634,North
2023-09-14 00:33:17.500000000,00:33:17.500000,198.0,413699.63682471,616678.48531794,2.18546835,North
2023-09-14 00:33:27.500000000,00:33:27.500000,199.0,413699.63960313,616700.08782915,2.16503506,North
2023-09-14 00:33:37.500000000,00:33:37.500000,200.0,413699.60510589,616721.74056009,2.16287428,North
2023-09-14 00:33:47.500000000,00:33:47.500000,201.0,413699.52761223,616743.45529894,2.16988396,North
2023-09-14 00:33:57.500000000,00:33:57.500000,202.0,413699.4564075,616765.19197039,2.1747533,North
2023-09-14 00:34:07.500000000,00:34:07.500000,203.0,413699.37320826,616786.93464998,2.17873016,North
2023-09-14 00:34:17.500000000,00:34:17.500000,204.0,413699.16670255,616808.65032724,2.17994769,North
2023-09-14 00:34:29.500000000,00:34:29.500000,205.0,413699.10140637,616834.68213037,2.173768,North
2023-09-14 00:34:39.000000000,00:34:39.000000,206.0,413698.91535212,616855.27942232,2.16922485,North
2023-09-14 00:34:48.500000000,00:34:48.500000,207.0,413698.74500541,616875.88451532,2.16784984,North
2023-09-14 00:34:58.000000000,00:34:58.000000,208.0,413698.6223182,616896.44556192,2.15906177,North
2023-09-14 00:35:09.000000000,00:35:09.000000,209.0,413698.48994578,616920.31718782,2.18630891,North
2023-09-14 00:35:19.000000000,00:35:19.000000,210.0,413698.44079574,616941.80357698,2.15943796,North
2023-09-14 00:35:28.500000000,00:35:28.500000,211.0,413698.35335351,616962.03911737,2.14493173,North
2023-09-14 00:35:38.000000000,00:35:38.000000,212.0,413698.26968983,616982.28905825,2.13646303,North
2023-09-14 00:35:48.000000000,00:35:48.000000,213.0,413698.2166734,617003.66577486,2.13580966,North
2023-09-14 00:35:58.000000000,00:35:58.000000,214.0,413698.20189065,617025.08600954,2.13877695,North
2023-09-14 00:36:08.000000000,00:36:08.000000,215.0,413698.20892981,617046.52706484,2.14710777,North
2023-09-14 00:36:21.000000000,00:36:21.000000,217.0,413698.32373063,617074.28741983,2.13551728,North
2023-09-14 00:36:30.500000000,00:36:30.500000,218.0,413698.29161388,617094.61212305,2.14183607,North
2023-09-14 00:36:39.500000000,00:36:39.500000,218.0,413698.29762877,617113.80535463,2.13506189,North
2023-09-14 00:36:49.000000000,00:36:49.000000,219.0,413698.35180628,617134.09959711,2.13200758,North
2023-09-14 00:36:58.500000000,00:36:58.500000,220.0,413698.39294445,617154.48832812,2.14270842,North
2023-09-14 00:37:11.500000000,00:37:11.500000,222.0,413698.49408766,617182.21129526,2.13090689,North
2023-09-14 00:37:20.500000000,00:37:20.500000,223.0,413698.56676531,617201.44886698,2.138376,North
2023-09-14 00:37:30.500000000,00:37:30.500000,224.0,413698.58570061,617222.78093256,2.13734427,North
2023-09-14 00:37:40.500000000,00:37:40.500000,225.0,413698.59704189,617244.13519015,2.14522056,North
2023-09-14 00:37:50.500000000,00:37:50.500000,226.0,413698.63794642,617265.40841021,2.13053361,North
2023-09-14 00:38:00.500000000,00:38:00.500000,227.0,413698.64490157,617286.73432459,2.12777665,North
2023-09-14 00:38:10.500000000,00:38:10.500000,228.0,413698.67514131,617308.1136085,2.13263598,North
2023-09-14 00:38:19.500000000,00:38:19.500000,228.0,413698.68622979,617327.3142158,2.13862342,North
2023-09-14 00:38:29.000000000,00:38:29.000000,229.0,413698.67982882,617347.55527033,2.13592711,North
2023-09-14 00:38:38.500000000,00:38:38.500000,230.0,413698.62081096,617367.75567545,2.1275215,North
2023-09-14 00:38:50.500000000,00:38:50.500000,232.0,413698.53166625,617393.22166743,2.12312931,North
2023-09-14 00:39:00.500000000,00:39:00.500000,233.0,413698.47290102,617414.54256548,2.12961239,North
2023-09-14 00:39:09.500000000,00:39:09.500000,233.0,413698.45117556,617433.78730311,2.14084627,North
2023-09-14 00:39:19.500000000,00:39:19.500000,234.0,413698.40462729,617455.14722742,2.13872461,North
2023-09-14 00:39:29.000000000,00:39:29.000000,235.0,413698.39240033,617475.37027468,2.13398158,North
2023-09-14 00:39:41.000000000,00:39:41.000000,237.0,413698.42317311,617500.87696184,2.12564982,North
2023-09-14 00:39:50.500000000,00:39:50.500000,238.0,413698.43135607,617521.12354769,2.13061871,North
2023-09-14 00:40:00.000000000,00:40:00.000000,239.0,413698.43154606,617541.48347773,2.14002887,North
2023-09-14 00:40:09.500000000,00:40:09.500000,239.0,413698.47171124,617561.88796589,2.1470481,North
2023-09-14 00:40:18.500000000,00:40:18.500000,240.0,413698.52995069,617581.23669216,2.15675588,North
2023-09-14 00:40:30.500000000,00:40:30.500000,242.0,413698.53855575,617606.93599293,2.14933222,North
2023-09-14 00:40:39.500000000,00:40:39.500000,242.0,413698.5940711,617626.205816,2.14479484,North
2023-09-14 00:40:49.500000000,00:40:49.500000,243.0,413698.72244907,617647.62416622,2.14195051,North
2023-09-14 00:40:59.000000000,00:40:59.000000,244.0,413698.834734,617667.95226452,2.13941095,North
2023-09-14 00:41:08.500000000,00:41:08.500000,245.0,413698.97437387,617688.36267635,2.14777184,North
2023-09-14 00:41:17.500000000,00:41:17.500000,246.0,413699.07437993,617707.67540524,2.15062385,North
2023-09-14 00:41:29.500000000,00:41:29.500000,247.0,413699.20234665,617733.37804005,2.14454772,North
2023-09-14 00:41:39.500000000,00:41:39.500000,248.0,413699.27357147,617754.7668111,2.13942633,North
2023-09-14 00:41:48.500000000,00:41:48.500000,249.0,413699.25394693,617774.07322285,2.14598674,North
2023-09-14 00:41:58.500000000,00:41:58.500000,250.0,413699.32806081,617795.46880314,2.14163845,North
2023-09-14 00:42:11.000000000,00:42:11.000000,252.0,413699.38595539,617822.25116131,2.14191054,North
2023-09-14 00:42:20.000000000,00:42:20.000000,252.0,413699.40327292,617841.61683437,2.15196697,North
2023-09-14 00:42:29.500000000,00:42:29.500000,253.0,413699.45261296,617862.02205441,2.15196066,North
2023-09-14 00:42:39.000000000,00:42:39.000000,254.0,413699.47685519,617882.44894192,2.15204226,North
2023-09-14 00:42:48.500000000,00:42:48.500000,255.0,413699.44940447,617902.84079144,2.14776803,North
2023-09-14 00:43:01.000000000,00:43:01.000000,257.0,413699.43530321,617929.67162296,2.14486225,North
2023-09-14 00:43:11.000000000,00:43:11.000000,258.0,413699.4252542,617951.12684605,2.14537643,North
2023-09-14 00:43:20.000000000,00:43:20.000000,259.0,413699.3924914,617970.40813038,2.14661362,North
2023-09-14 00:43:29.500000000,00:43:29.500000,259.0,413699.46525853,617990.68767017,2.13913955,North
2023-09-14 00:43:39.000000000,00:43:39.000000,260.0,413699.49469442,618010.95604748,2.13364255,North
2023-09-14 00:43:48.500000000,00:43:48.500000,261.0,413699.53927087,618031.25979275,2.13625231,North
2023-09-14 00:44:00.500000000,00:44:00.500000,263.0,413699.63186574,618056.93554157,2.13953943,North
2023-09-14 00:44:10.000000000,00:44:10.000000,264.0,413699.64253261,618077.24643368,2.13847224,North
2023-09-14 00:44:20.000000000,00:44:20.000000,265.0,413699.62919193,618098.69823307,2.14610072,North
2023-09-14 00:44:29.500000000,00:44:29.500000,265.0,413699.57632075,618119.08295673,2.15134577,North
2023-09-14 00:44:39.000000000,00:44:39.000000,266.0,413699.56736745,618139.40368122,2.14371946,North
2023-09-14 00:44:48.500000000,00:44:48.500000,267.0,413699.53681492,618159.71002621,2.13829962,North
2023-09-14 00:45:00.500000000,00:45:00.500000,269.0,413699.55153659,618185.43275493,2.14408266,North
2023-09-14 00:45:10.000000000,00:45:10.000000,270.0,413699.64643846,618206.00807232,2.16131206,North
2023-09-14 00:45:20.000000000,00:45:20.000000,271.0,413699.83445813,618227.79636997,2.17395839,North
2023-09-14 00:45:29.500000000,00:45:29.500000,271.0,413699.91084467,618248.6213097,2.18655103,North
2023-09-14 00:45:39.000000000,00:45:39.000000,272.0,413699.84265476,618269.54754299,2.20073829,North
2023-09-14 00:45:48.500000000,00:45:48.500000,273.0,413699.66998925,618290.56993526,2.21213114,North
2023-09-14 00:46:00.500000000,00:46:00.500000,275.0,413699.80851283,618317.25660938,2.21858438,North
2023-09-14 00:46:10.000000000,00:46:10.000000,276.0,413699.63195316,618338.31696361,2.21242366,North
2023-09-14 00:46:20.000000000,00:46:20.000000,277.0,413698.82575319,618360.67306751,2.23327968,North
2023-09-14 00:46:30.000000000,00:46:30.000000,278.0,413698.86859573,618383.06153721,2.23744928,North
2023-09-14 00:46:40.000000000,00:46:40.000000,278.0,413698.74989725,618405.55824894,2.25024677,North
2023-09-14 00:46:50.000000000,00:46:50.000000,279.0,413698.452218,618428.20378063,2.26426157,North
2023-09-14 00:46:59.500000000,00:46:59.500000,280.0,413698.65660418,618449.89559696,2.27610674,North
2023-09-14 00:47:12.500000000,00:47:12.500000,282.0,413699.10557324,618479.7023959,2.28930921,North
2023-09-14 00:47:19.000000000,00:47:19.000000,282.0,413699.34540866,618494.66902111,2.29302497,North
2023-09-14 00:47:32.000000000,00:47:32.000000,284.0,413700.08238862,618524.83412312,2.31297475,North
