,,,V1 Easting,V1 Northing,V1 Bottom Speed
Time,Time,Shot,Value (Meters),Value (Meters),Value (Units per second)
1693872000.251801,00:00:00.251801,,408393.52231584,544855.48392815,2.34077118
1693872007.503801,00:00:07.503801,,408393.49662618,544872.52464622,2.34498747
1693872021.369801,00:00:21.369801,2,408393.47559516,544905.08850807,2.34557462
1693872028.455801,00:00:28.455801,2,408393.51582057,544921.79968971,2.35180874
1693872035.473801,00:00:35.473801,3,408393.50753421,544938.28607315,2.34879665
1693872049.501801,00:00:49.501801,4,408393.41227305,544971.31425232,2.35125808
1693872056.716801,00:00:56.716801,5,408393.41659150,544988.31138939,2.35227332
1693872071.354801,00:01:11.354801,7,408393.37897595,545022.83716911,2.35672996
1693872077.981801,00:01:17.981801,7,408393.26889305,545038.38722271,2.35313587
1693872085.110801,00:01:25.110801,8,408393.17874002,545055.09558529,2.34596618
1693872099.284801,00:01:39.284801,9,408393.07604276,545088.49319118,2.35678545
1693872106.808801,00:01:46.808801,10,408393.13072063,545106.17776150,2.35617834
1693872120.518801,00:02:00.518801,11,408392.99746119,545138.21340221,2.34170187
1693872127.840801,00:02:07.840801,12,408393.01065660,545155.38440365,2.34089885
1693872134.959801,00:02:14.959801,13,408393.04443475,545172.05818027,2.34192613
1693872149.111801,00:02:29.111801,14,408393.10049045,545205.18107075,2.34228798
1693872156.555801,00:02:36.555801,15,408393.00474430,545222.51733822,2.33723983
1693872170.733801,00:02:50.733801,16,408392.61168737,545255.52145428,2.33138458
1693872177.428801,00:02:57.428801,17,408392.61655770,545271.17515415,2.33428101
1693872191.861801,00:03:11.861801,19,408392.37381978,545304.95983356,2.33576310
1693872199.133801,00:03:19.133801,19,408392.18838206,545322.04995151,2.34194752
1693872206.163801,00:03:26.163801,20,408392.02237603,545338.53593441,2.34307699
1693872220.520801,00:03:40.520801,21,408392.09398842,545372.26998897,2.34998007
1693872227.360801,00:03:47.360801,22,408392.24710121,545388.28306385,2.34534667
1693872241.634801,00:04:01.634801,24,408392.20435020,545421.61396976,2.33943349
1693872248.400801,00:04:08.400801,24,408392.14466735,545437.41496654,2.33749607
1693872255.757801,00:04:15.757801,25,408392.20502147,545454.64615436,2.34023472
1693872270.571801,00:04:30.571801,26,408392.04378709,545489.33025165,2.34338600
1693872277.543801,00:04:37.543801,27,408391.87044786,545505.60750004,2.33938830
1693872291.467801,00:04:51.467801,29,408391.53977836,545538.19054981,2.34146539
1693872298.952801,00:04:58.952801,29,408391.39633251,545555.73231121,2.34252210
1693872305.893801,00:05:05.893801,30,408391.16735872,545572.02061268,2.34687418
1693872320.007801,00:05:20.007801,31,408390.64788195,545604.93041416,2.32921569
1693872326.916801,00:05:26.916801,32,408390.24516475,545621.21550556,2.34154592
1693872341.610801,00:05:41.610801,34,408389.74896249,545655.82326694,2.35621979
1693872348.788801,00:05:48.788801,34,408389.48585084,545672.64882847,2.35086943
1693872355.379801,00:05:55.379801,35,408389.26686549,545688.14436336,2.35058917
1693872369.706801,00:06:09.706801,36,408388.65614283,545721.82404705,2.35136401
1693872377.107801,00:06:17.107801,37,408388.31740898,545739.20706936,2.34982683
1693872390.443801,00:06:30.443801,38,408387.97631642,545770.55450817,2.34876609
1693872397.552801,00:06:37.552801,39,408387.82734841,545787.31015437,2.35131763
1693872405.161801,00:06:45.161801,40,408387.68704269,545805.25278323,2.35549821
1693872419.701801,00:06:59.701801,41,408387.57686281,545839.53197711,2.35718001
1693872426.328801,00:07:06.328801,42,408387.49439956,545855.13509982,2.35485837
1693872440.225801,00:07:20.225801,43,408387.45174692,545887.81338351,2.35269259
1693872447.676801,00:07:27.676801,44,408387.45334144,545905.32389872,2.35240132
1693872462.102802,00:07:42.102802,46,408387.09735919,545939.03043025,2.33754907
1693872469.315801,00:07:49.315801,46,408387.24520285,545955.96472209,2.34010397
1693872476.477801,00:07:56.477801,47,408387.21128670,545972.81412165,2.34743069
1693872490.030801,00:08:10.030801,48,408386.95348487,546004.64874690,2.34933298
1693872497.596801,00:08:17.596801,49,408386.83199428,546022.44060557,2.35085875
1693872511.341801,00:08:31.341801,50,408386.40752651,546054.65483897,2.34587039
1693872518.819801,00:08:38.819801,51,408386.19217602,546072.21017306,2.34757223
1693872526.138801,00:08:46.138801,52,408386.01230318,546089.36442225,2.34460698
1693872540.034801,00:09:00.034801,53,408385.61109841,546121.95362132,2.34503365
1693872547.078801,00:09:07.078801,54,408385.50574638,546138.52830546,2.35203532
