,,,V1 Easting,V1 Northing,V1 Bottom Speed
Time,Time,Shot,Value (Meters),Value (Meters),Value (Units per second)
1694131202.500000,00:00:02.500000,,416207.09919094,520335.04027769,2.24728769
1694131209.000000,00:00:09.000000,,416192.80767750,520337.27680418,2.22909163
1694131222.000000,00:00:22.000000,2,416164.01672481,520342.40250704,2.25541106
1694131231.500000,00:00:31.500000,2,416142.99647068,520346.08534309,2.25441287
1694131240.500000,00:00:40.500000,3,416123.15298580,520349.57598922,2.24586353
1694131252.500000,00:00:52.500000,5,416096.65096592,520354.36497018,2.24508759
1694131262.500000,00:01:02.500000,6,416074.55931019,520358.47489020,2.25445948
1694131272.500000,00:01:12.500000,7,416052.56154560,520362.74973962,2.24850156
1694131282.500000,00:01:22.500000,8,416030.70687031,520366.99518678,2.23609821
1694131292.000000,00:01:32.000000,9,416009.82722782,520371.10930297,2.23748150
1694131301.500000,00:01:41.500000,9,415988.98647999,520375.44308516,2.23573828
1694131310.500000,00:01:50.500000,10,415969.21155476,520379.54807183,2.24129651
1694131320.985654,00:02:00.985654,11,415946.14482807,520384.56396005,2.26578771
1694131330.500000,00:02:10.500000,12,415925.36455463,520389.04520032,2.24153654
1694131340.000000,00:02:20.000000,13,415904.58619617,520393.54920337,2.23381186
1694131349.500000,00:02:29.500000,14,415883.71441769,520398.34421918,2.25292939
1694131363.000000,00:02:43.000000,16,415854.22398685,520404.94138381,2.24179595
1694131372.500000,00:02:52.500000,16,415833.47147488,520410.00962207,2.24424248
1694131382.000000,00:03:02.000000,18,415812.75157093,520415.05452058,2.24198762
1694131392.000000,00:03:12.000000,19,415790.86416935,520420.61339137,2.26116711
1694131402.000000,00:03:22.000000,20,415769.08025803,520426.15435218,2.24812083
1694131412.000000,00:03:32.000000,21,415747.29598870,520431.82792759,2.25180792
1694131422.000000,00:03:42.000000,22,415725.49238648,520437.51843023,2.24949441
1694131431.500000,00:03:51.500000,22,415704.76418938,520443.07284164,2.26558171
1694131441.000000,00:04:01.000000,23,415684.14653267,520448.36890077,2.24916010
1694131451.000000,00:04:11.000000,24,415662.40636315,520454.16041803,2.25828815
1694131461.000000,00:04:21.000000,25,415640.69062295,520460.11445808,2.25768522
1694131473.500000,00:04:33.500000,27,415613.62643113,520467.33997965,2.24685152
1694131480.000000,00:04:40.000000,27,415599.58782544,520471.29807400,2.24132247
1694131493.000000,00:04:53.000000,29,415571.31770100,520479.20693278,2.25418884
1694131502.000000,00:05:02.000000,30,415551.81590809,520484.65811896,2.25118430
1694131511.500000,00:05:11.500000,30,415531.21645512,520490.92169356,2.27267099
1694131520.500000,00:05:20.500000,31,415511.80890049,520496.60556483,2.24996282
1694131530.500000,00:05:30.500000,32,415490.21013608,520503.26705289,2.26684841
1694131540.500000,00:05:40.500000,33,415468.74984707,520509.64921546,2.23826849
1694131550.500000,00:05:50.500000,34,415447.25141491,520516.28692507,2.24446690
1694131563.000000,00:06:03.000000,36,415420.44184079,520524.93624091,2.26020296
1694131572.000000,00:06:12.000000,37,415401.26634755,520531.12550616,2.23747935
1694131581.500000,00:06:21.500000,37,415381.00693669,520537.84492373,2.23950534
1694131590.500000,00:06:30.500000,38,415361.90230717,520544.32207226,2.24103222
1694131602.500000,00:06:42.500000,40,415336.28480387,520553.11236212,2.25524254
1694131611.500000,00:06:51.500000,40,415317.16343737,520559.58949683,2.24858009
1694131621.000000,00:07:01.000000,41,415297.00301600,520566.75092623,2.25217613
1694131631.000000,00:07:11.000000,42,415275.79003573,520574.31246397,2.25568373
1694131641.000000,00:07:21.000000,43,415254.65046358,520581.87181208,2.24719075
1694131651.000000,00:07:31.000000,44,415233.51918650,520589.54990265,2.24731686
1694131661.000000,00:07:41.000000,45,415212.33732844,520597.28135989,2.26846548
1694131670.000000,00:07:50.000000,46,415193.39191103,520604.39330981,2.26726289
1694131682.500000,00:08:02.500000,48,415167.11434984,520614.31949160,2.25207732
1694131692.500000,00:08:12.500000,49,415146.02806330,520622.44044898,2.26074838
1694131701.500000,00:08:21.500000,49,415127.12586451,520629.66994021,2.24486067
1694131710.500000,00:08:30.500000,50,415108.26652765,520636.86018393,2.23869120
1694131722.500000,00:08:42.500000,52,415083.02379084,520646.91999075,2.26086005
1694131732.000000,00:08:52.000000,53,415063.14639712,520654.74063990,2.25381701
1694131741.500000,00:09:01.500000,53,415043.24922991,520662.84809325,2.26288605
1694131750.500000,00:09:10.500000,54,415024.48744440,520670.50129054,2.24719969
1694131763.000000,00:09:23.000000,56,414998.30856562,520681.64519713,2.28545710
1694131773.000000,00:09:33.000000,57,414977.53438997,520690.51066515,2.26479232
1694131779.500000,00:09:39.500000,57,414963.99323321,520696.15909741,2.26050745
1694131793.000000,00:09:53.000000,59,414936.06314707,520708.58796952,2.27586927
1694131802.500000,00:10:02.500000,60,414916.39083454,520717.22821577,2.28257553
1694131812.000000,00:10:12.000000,61,414896.86969158,520725.77813490,2.25002730
1694131822.000000,00:10:22.000000,62,414876.29318210,520735.00726755,2.24985007
1694131832.000000,00:10:32.000000,63,414855.73388645,520744.32356985,2.25050441
1694131841.500000,00:10:41.500000,63,414836.22401783,520753.27489527,2.25942128
1694131851.500000,00:10:51.500000,64,414815.76279232,520762.54380377,2.24885527
1694131863.500000,00:11:03.500000,66,414791.16993687,520774.04253348,2.27036454
1694131870.000000,00:11:10.000000,66,414777.96015808,520780.44308003,2.26270894
1694131880.000000,00:11:20.000000,67,414757.52750465,520789.87693127,2.25276432
1694131893.000000,00:11:33.000000,69,414731.01467583,520802.58144291,2.27430432
1694131902.500000,00:11:42.500000,70,414711.77678558,520811.88227757,2.25630002
1694131911.500000,00:11:51.500000,70,414693.52705070,520820.73002155,2.25975712
1694131921.676933,00:12:01.676933,71,414673.04898521,520831.06340035,2.26740575
1694131931.000000,00:12:11.000000,72,414654.29684135,520840.58680161,2.26400416
1694131941.000000,00:12:21.000000,73,414634.23424789,520850.67946060,2.24838313
1694131950.500000,00:12:30.500000,74,414615.06143066,520860.48901280,2.26181886
1694131963.500000,00:12:43.500000,76,414588.93747398,520874.22902210,2.26590477
1694131970.000000,00:12:50.000000,76,414575.76658222,520881.03644856,2.28750911
1694131982.000000,00:13:02.000000,78,414551.72801563,520893.54491146,2.26326188
1694131991.500000,00:13:11.500000,78,414532.67651531,520903.41387566,2.25476717
1694132001.000000,00:13:21.000000,79,414513.58281276,520913.51403763,2.26924784
1694132010.500000,00:13:30.500000,80,414494.57496784,520923.82217361,2.27470163
1694132023.000000,00:13:43.000000,82,414469.69809673,520937.45333149,2.27513226
1694132033.000000,00:13:53.000000,83,414449.75768039,520948.24435760,2.27493965
1694132040.000000,00:14:00.000000,83,414435.77969406,520955.65744640,2.26866408
1694132052.500000,00:14:12.500000,85,414411.15385101,520969.56476356,2.25881766
1694132062.500000,00:14:22.500000,86,414391.34266899,520980.63812115,2.26923152
1694132072.000000,00:14:32.000000,87,414372.67616890,520991.41313888,2.27295329
1694132081.500000,00:14:41.500000,87,414354.11609123,521002.16222145,2.26273423
1694132091.000000,00:14:51.000000,88,414335.52327392,521013.02320816,2.27221532
1694132100.000000,00:15:00.000000,89,414317.97370956,521023.20355083,2.24511650
1694132109.500000,00:15:09.500000,90,414299.38950203,521034.19864704,2.25633049
1694132123.000000,00:15:23.000000,92,414273.12901161,521049.98629810,2.25966220
1694132133.000000,00:15:33.000000,93,414253.58473251,521061.86497738,2.27871897
1694132143.000000,00:15:43.000000,94,414234.14366005,521073.63627388,2.28294702
1694132152.500000,00:15:52.500000,95,414215.62385032,521084.93478252,2.29118921
1694132161.500000,00:16:01.500000,95,414198.23909042,521095.62243988,2.26812131
1694132171.000000,00:16:11.000000,96,414179.86479614,521107.15119984,2.28053007
1694132180.500000,00:16:20.500000,97,414161.58475540,521118.59403469,2.26038365
1694132190.000000,00:16:30.000000,98,414143.30682418,521130.24378349,2.27558632
1694132203.500000,00:16:43.500000,100,414117.49096230,521147.06747838,2.28115888
1694132210.000000,00:16:50.000000,100,414105.08192185,521154.95894690,2.27537129
1694132220.000000,00:17:00.000000,101,414086.03330162,521167.42945261,2.27252580
1694132230.000000,00:17:10.000000,102,414066.95718315,521179.91909762,2.28307135
1694132240.000000,00:17:20.000000,103,414048.03805473,521192.57380076,2.27160153
1694132250.000000,00:17:30.000000,104,414029.17653778,521205.13045092,2.25527451
1694132262.500000,00:17:42.500000,106,414005.72715309,521221.47370692,2.28828003
1694132271.500000,00:17:51.500000,106,413988.84869125,521233.10416956,2.29082764
1694132281.000000,00:18:01.000000,107,413971.11368302,521245.35455199,2.27468819
1694132290.500000,00:18:10.500000,108,413953.37172630,521257.70567771,2.27326280
1694132303.000000,00:18:23.000000,110,413930.08905342,521274.32088538,2.28186334
1694132310.500000,00:18:30.500000,110,413916.12037399,521283.89702769,2.25536113
1694132320.500000,00:18:40.500000,111,413897.45589569,521297.32128401,2.30057037
1694132332.500000,00:18:52.500000,113,413875.30731896,521313.47062560,2.28558988
1694132342.000000,00:19:02.000000,114,413857.77551010,521326.22006865,2.28300016
1694132352.000000,00:19:12.000000,115,413839.39768341,521339.81199523,2.28470339
1694132361.000000,00:19:21.000000,115,413822.96410492,521352.06007357,2.27670263
1694132370.500000,00:19:30.500000,116,413805.58827522,521365.21849127,2.30814554
1694132379.500000,00:19:39.500000,117,413789.26494339,521377.57699175,2.28713196
1694132391.500000,00:19:51.500000,118,413767.45354775,521394.19617816,2.29691615
1694132401.000000,00:20:01.000000,119,413750.24316627,521407.31427438,2.28633806
1694132410.500000,00:20:10.500000,120,413733.07191688,521420.74714429,2.28887874
1694132420.500000,00:20:20.500000,121,413715.07147437,521434.84545572,2.28955215
1694132430.000000,00:20:30.000000,122,413697.98127776,521448.40907629,2.29497767
1694132442.500000,00:20:42.500000,124,413675.46937400,521466.04722364,2.28997914
1694132452.000000,00:20:52.000000,125,413658.53132850,521479.70663316,2.29822278
1694132462.000000,00:21:02.000000,126,413640.80131561,521494.02436121,2.28633664
1694132472.000000,00:21:12.000000,127,413623.06286651,521508.33182008,2.26874163
1694132482.000000,00:21:22.000000,128,413605.35520393,521522.83797700,2.28201446
1694132491.000000,00:21:31.000000,128,413589.42783767,521535.92844636,2.28114580
1694132501.000000,00:21:41.000000,129,413571.76305038,521550.69799001,2.30659874
1694132510.000000,00:21:50.000000,130,413555.97135288,521564.12991865,2.30904098
1694132522.500000,00:22:02.500000,132,413534.09417850,521582.63043745,2.30055596
1694132532.500000,00:22:12.500000,133,413516.66507083,521597.78082712,2.31413415
1694132541.500000,00:22:21.500000,133,413501.08074027,521611.00745828,2.27833419
1694132550.500000,00:22:30.500000,134,413485.42899066,521624.71595438,2.31385911
1694132562.500000,00:22:42.500000,136,413464.83726245,521642.90868051,2.29533665
1694132571.500000,00:22:51.500000,136,413449.40048438,521656.76369722,2.31061843
1694132581.500000,00:23:01.500000,137,413432.36176902,521671.91337450,2.28138228
1694132591.000000,00:23:11.000000,138,413416.15216667,521686.45133264,2.28161250
1694132601.000000,00:23:21.000000,139,413399.10146908,521701.98678632,2.31593185
1694132613.500000,00:23:33.500000,141,413377.97168354,521721.02030034,2.27073786
1694132620.000000,00:23:40.000000,141,413366.97415356,521731.08175226,2.28928185
1694132630.000000,00:23:50.000000,142,413350.07839398,521746.60532995,2.28934630
1694132643.500000,00:24:03.500000,144,413327.44680981,521767.76941343,2.29464950
1694132652.500000,00:24:12.500000,145,413312.52565579,521782.01624627,2.29818396
1694132662.500000,00:24:22.500000,146,413295.95419888,521798.16246553,2.31806316
1694132671.500000,00:24:31.500000,146,413281.09309773,521812.32816644,2.28470300
1694132681.000000,00:24:41.000000,147,413265.54157643,521827.66535898,2.28997980
1694132690.500000,00:24:50.500000,148,413250.05084423,521843.18615194,2.30743174
1694132703.000000,00:25:03.000000,150,413229.73884396,521863.44578023,2.29889692
1694132712.500000,00:25:12.500000,151,413214.26758961,521878.78766198,2.30075872
1694132722.500000,00:25:22.500000,152,413198.12723545,521895.11297174,2.29752888
1694132731.500000,00:25:31.500000,152,413183.50721840,521909.64672036,2.29766179
1694132741.500000,00:25:41.500000,153,413167.31185250,521925.96898027,2.30273332
1694132751.000000,00:25:51.000000,154,413152.08909611,521941.72282930,2.30541969
