,,,V1 Easting,V1 Northing,V1 Bottom Speed
Time,Time,Shot,Value (Meters),Value (Meters),Value (Units per second)
1694735998.791801,23:59:58.791801,,414321.94467573,586056.80060254,2.35364431
1694736012.631801,00:00:12.631801,1,414321.94776124,586089.24505292,2.34745136
1694736020.031801,00:00:20.031801,1,414322.08243278,586106.60740720,2.34569484
1694736026.717801,00:00:26.717801,2,414322.08587381,586122.38676606,2.35290211
1694736040.559801,00:00:40.559801,3,414322.06052429,586154.96764146,2.35346704
1694736047.820801,00:00:47.820801,4,414322.05754630,586172.04206811,2.35046761
1694736061.924801,00:01:01.924801,5,414322.22402875,586205.34455072,2.35789313
1694736069.380801,00:01:09.380801,6,414322.29171995,586222.93009721,2.35508772
1694736076.235801,00:01:16.235801,7,414322.38884862,586239.15134393,2.36056282
1694736090.400801,00:01:30.400801,8,414322.50100676,586272.57252847,2.35588748
1694736097.605801,00:01:37.605801,9,414322.63169932,586289.64677774,2.36140375
1694736111.715801,00:01:51.715801,10,414322.90977877,586323.02069055,2.36538618
1694736118.837801,00:01:58.837801,11,414323.12900902,586339.89331399,2.36763117
1694736126.123801,00:02:06.123801,12,414323.33392687,586357.09883653,2.36402113
1694736139.849801,00:02:19.849801,13,414323.49738167,586389.57155763,2.36793295
1694736146.575801,00:02:26.575801,14,414323.55002181,586405.40354024,2.35930571
1694736160.620801,00:02:40.620801,15,414323.76559420,586438.53708135,2.35479395
1694736168.101801,00:02:48.101801,16,414324.08963509,586456.30549871,2.36537843
1694736182.052801,00:03:02.052801,18,414324.47876476,586489.37387716,2.37004429
1694736188.972801,00:03:08.972801,18,414324.67175958,586505.67514097,2.36120018
1694736196.257801,00:03:16.257801,19,414324.86062750,586522.91656828,2.36326189
1694736210.360801,00:03:30.360801,20,414325.39837411,586556.36589766,2.37350694
1694736217.169801,00:03:37.169801,21,414325.61515935,586572.47228575,2.37060071
1694736231.517801,00:03:51.517801,22,414326.05757810,586606.38164473,2.36517308
1694736238.813801,00:03:58.813801,23,414326.22717479,586623.64114714,2.36864893
1694736252.322801,00:04:12.322801,25,414326.55011812,586655.43586302,2.35867353
1694736259.898801,00:04:19.898801,25,414326.80348626,586673.25501967,2.35570095
1694736266.534801,00:04:26.534801,26,414326.86865012,586688.85516596,2.35283940
1694736281.088801,00:04:41.088801,27,414326.97296057,586723.04615259,2.35178374
1694736287.841801,00:04:47.841801,28,414327.05708846,586738.86182547,2.34794562
1694736302.683801,00:05:02.683801,30,414327.21443105,586773.69844580,2.34720922
1694736309.730801,00:05:09.730801,30,414327.29171660,586790.25764799,2.34786858
1694736316.695801,00:05:16.695801,31,414327.36295063,586806.63780546,2.35037679
1694736330.996801,00:05:30.996801,32,414327.06662441,586840.25966215,2.35125206
1694736338.101801,00:05:38.101801,33,414326.95017381,586856.94822645,2.34871913
1694736351.767801,00:05:51.767801,34,414326.68550883,586889.16632795,2.35516782
1694736359.311801,00:05:59.311801,35,414326.68049450,586906.95021200,2.35417981
1694736366.385801,00:06:06.385801,36,414326.70369176,586923.68606520,2.36006558
1694736379.898801,00:06:19.898801,37,414326.62528772,586955.48354483,2.35122369
1694736387.070801,00:06:27.070801,38,414326.75401990,586972.39979887,2.35619708
1694736401.683801,00:06:41.683801,39,414327.22201659,587006.82326818,2.35625249
1694736408.366801,00:06:48.366801,40,414327.46688547,587022.63641477,2.36099123
1694736415.859801,00:06:55.859801,41,414327.76862668,587040.32701231,2.36132969
1694736429.640801,00:07:09.640801,42,414328.51650684,587072.88923002,2.36307819
1694736436.754801,00:07:16.754801,43,414328.91441982,587089.71286130,2.36371265
1694736451.096801,00:07:31.096801,44,414329.79917484,587123.59507490,2.36325184
