,,,V1 Easting,V1 Northing,V1 Bottom Speed
Time,Time,Shot,Value (Meters),Value (Meters),Value (Units per second)
1693526405.500000,00:00:05.500000,,417347.66698700,620717.90795588,2.40209390
1693526415.000000,00:00:15.000000,,417352.06217867,620695.63665270,2.38823693
1693526428.500000,00:00:28.500000,2,417358.29248005,620663.97207141,2.39343237
1693526434.901378,00:00:34.901378,2,417361.41137916,620648.97944235,2.40696936
1693526445.000000,00:00:45.000000,3,417365.95463211,620625.41939711,2.39174842
1693526458.000000,00:00:58.000000,5,417372.03903705,620595.02108931,2.38723333
1693526467.500000,00:01:07.500000,6,417376.40368682,620572.59457373,2.40551279
1693526476.500000,00:01:16.500000,6,417380.62518150,620551.56463408,2.38723696
1693526486.000000,00:01:26.000000,7,417385.20662099,620529.29138350,2.39165178
1693526496.000000,00:01:36.000000,8,417389.79875833,620505.87216162,2.39668987
1693526506.000000,00:01:46.000000,9,417394.36060077,620482.44822859,2.38890929
1693526516.000000,00:01:56.000000,10,417399.08352691,620459.06216025,2.39020313
1693526526.000000,00:02:06.000000,11,417403.91468793,620435.77280402,2.37467700
1693526538.500000,00:02:18.500000,13,417409.56946498,620406.61069274,2.36782506
1693526545.000000,00:02:25.000000,13,417412.24695856,620391.26451945,2.38719348
1693526555.000000,00:02:35.000000,14,417416.56520158,620367.86532664,2.38685297
1693526567.000000,00:02:47.000000,16,417421.75819284,620339.78562426,2.38798863
1693526576.500000,00:02:56.500000,16,417426.17444736,620317.56992411,2.38533409
1693526586.000000,00:03:06.000000,17,417430.27993089,620295.36039424,2.38397204
1693526595.500000,00:03:15.500000,18,417434.46790916,620273.11055827,2.38567027
1693526605.500000,00:03:25.500000,19,417438.79552613,620249.53592184,2.40022975
1693526615.500000,00:03:35.500000,20,417443.18932257,620226.03586081,2.39699401
1693526625.500000,00:03:45.500000,21,417447.55912648,620202.48856047,2.39146361
1693526637.500000,00:03:57.500000,23,417452.87052069,620174.23223189,2.39623031
1693526647.500000,00:04:07.500000,24,417457.13295279,620150.71326712,2.38917251
1693526654.500000,00:04:14.500000,24,417460.27208577,620134.18461684,2.40042594
1693526664.500000,00:04:24.500000,25,417464.79727946,620110.75060156,2.39045005
1693526677.500000,00:04:37.500000,27,417470.24942790,620080.07770422,2.40535974
1693526687.000000,00:04:47.000000,28,417474.55703269,620057.85983542,2.39052039
1693526697.000000,00:04:57.000000,29,417479.02682076,620034.48406294,2.38341501
1693526706.000000,00:05:06.000000,29,417483.30925379,620013.43696097,2.37722796
1693526716.000000,00:05:16.000000,30,417487.77773104,619989.85050085,2.40428871
1693526726.000000,00:05:26.000000,31,417492.47685157,619966.42443922,2.39740057
1693526736.000000,00:05:36.000000,32,417496.60888873,619942.76899222,2.40978721
1693526745.500000,00:05:45.500000,33,417500.51365863,619920.39427069,2.39458380
1693526755.000000,00:05:55.000000,34,417504.36685215,619897.95958212,2.39082803
1693526768.500000,00:06:08.500000,36,417509.65290294,619865.92589072,2.40045975
1693526778.500000,00:06:18.500000,37,417513.70024334,619842.20057562,2.40508291
1693526788.500000,00:06:28.500000,38,417518.07657610,619818.55661467,2.40644342
1693526798.500000,00:06:38.500000,39,417522.18999325,619794.85294607,2.41405299
1693526807.500000,00:06:47.500000,39,417526.00444968,619773.51690548,2.40747992
1693526817.500000,00:06:57.500000,40,417530.10168536,619749.70859020,2.41667893
1693526826.500000,00:07:06.500000,41,417533.73669799,619728.18851154,2.42575805
1693526836.500000,00:07:16.500000,42,417537.93522533,619704.43436497,2.41492299
1693526846.500000,00:07:26.500000,43,417542.20658334,619680.65068119,2.42403261
1693526856.500000,00:07:36.500000,44,417546.33500608,619656.84701412,2.42627034
1693526868.500000,00:07:48.500000,46,417551.54284270,619628.24274700,2.43492019
1693526878.000000,00:07:58.000000,47,417555.55023749,619605.79862659,2.40388975
1693526888.000000,00:08:08.000000,48,417559.75450595,619581.94918888,2.42030952
1693526898.000000,00:08:18.000000,49,417564.24098046,619558.23718899,2.41374192
1693526908.000000,00:08:28.000000,50,417568.76929601,619534.50337856,2.41742017
1693526917.500000,00:08:37.500000,50,417573.27289565,619512.03059261,2.41958341
1693526927.000000,00:08:47.000000,51,417577.96213801,619489.55475109,2.42133716
1693526937.000000,00:08:57.000000,52,417582.80902084,619465.95916050,2.40833436
1693526946.000000,00:09:06.000000,53,417587.13604863,619444.68172329,2.41130623
1693526956.000000,00:09:16.000000,54,417591.85492595,619421.04576748,2.41322660
1693526966.000000,00:09:26.000000,55,417596.60116084,619397.49836605,2.40872077
1693526979.000000,00:09:39.000000,57,417602.85556539,619366.68451755,2.41791797
1693526989.000000,00:09:49.000000,58,417607.56973394,619343.05149715,2.41419292
1693526998.500000,00:09:58.500000,59,417612.08952268,619320.64935177,2.40569100
1693527008.000000,00:10:08.000000,60,417616.30445897,619298.09024783,2.41155377
1693527017.000000,00:10:17.000000,60,417620.34966075,619276.70205279,2.41733409
1693527026.500000,00:10:26.500000,61,417624.53767287,619254.10826655,2.42414541
1693527039.500000,00:10:39.500000,63,417630.38003432,619223.31027003,2.41755527
