,,,V1 Easting,V1 Northing,V1 Bottom Speed
Time,Time,Shot,Value (Meters),Value (Meters),Value (Units per second)
1694390400.314801,00:00:00.314801,,424629.80664112,587588.84342747,2.25303858
1694390408.010801,00:00:08.010801,,424629.78452929,587571.50378781,2.25394929
1694390422.693801,00:00:22.693801,1,424630.06001048,587538.43519574,2.25199001
1694390429.718801,00:00:29.718801,2,424630.04054270,587522.59015637,2.25381659
1694390444.452801,00:00:44.452801,4,424630.04877823,587489.27631741,2.25782509
1694390452.270801,00:00:52.270801,4,424630.15574966,587471.62782841,2.25603140
1694390459.431801,00:00:59.431801,5,424630.28873143,587455.47780591,2.25465661
1694390467.054801,00:01:07.054801,6,424630.37660976,587438.29607754,2.25483624
1694390481.628801,00:01:21.628801,7,424630.51094384,587405.59622937,2.24705996
1694390489.028801,00:01:29.028801,8,424630.57375509,587388.98478489,2.24612710
1694390496.661801,00:01:36.661801,9,424630.63962114,587371.86989575,2.24419505
1694390511.403801,00:01:51.403801,10,424630.70801639,587338.67007428,2.25181153
1694390518.415801,00:01:58.415801,11,424630.78023215,587322.81052285,2.25751764
1694390533.229801,00:02:13.229801,13,424630.90766615,587289.39454918,2.25445352
1694390540.964801,00:02:20.964801,13,424630.88740333,587271.95187073,2.25510486
1694390548.399801,00:02:28.399801,14,424630.83446451,587255.19850426,2.25263996
1694390563.079801,00:02:43.079801,16,424630.72960353,587221.98385125,2.26093098
1694390570.423801,00:02:50.423801,16,424630.50520365,587205.35571938,2.26307726
1694390577.298801,00:02:57.298801,17,424630.48246963,587189.77843457,2.26387739
1694390592.246801,00:03:12.246801,18,424630.59956772,587156.04920559,2.25774858
1694390599.790801,00:03:19.790801,19,424630.71377441,587139.06221845,2.25524296
1694390607.475801,00:03:27.475801,20,424630.83797046,587121.76141241,2.25210649
1694390621.976801,00:03:41.976801,21,424630.92523329,587088.97993734,2.25905487
1694390629.449801,00:03:49.449801,22,424631.01534267,587072.10873868,2.25785976
1694390637.089801,00:03:57.089801,23,424631.01100000,587054.77150800,2.26515565
1694390651.353801,00:04:11.353801,24,424630.92593217,587022.56049039,2.25841166
1694390658.824801,00:04:18.824801,25,424630.94933505,587005.66304853,2.26123579
1694390673.925801,00:04:33.925801,26,424630.95132446,586971.50083616,2.26154103
1694390680.973801,00:04:40.973801,27,424630.86792619,586955.55719926,2.26268699
1694390688.547801,00:04:48.547801,28,424630.86094481,586938.40701845,2.26447308
1694390702.960801,00:05:02.960801,29,424630.82576208,586905.83347871,2.26073471
1694390710.794801,00:05:10.794801,30,424630.83405670,586888.20379426,2.25333273
1694390717.900801,00:05:17.900801,31,424630.72946388,586872.12186220,2.25914261
1694390732.560801,00:05:32.560801,32,424630.53459458,586838.91084840,2.26325689
1694390740.040801,00:05:40.040801,33,424630.41248452,586821.96267107,2.26399383
1694390754.454801,00:05:54.454801,35,424630.22482846,586789.34592607,2.26146463
1694390762.071801,00:06:02.071801,35,424630.11237985,586772.11834505,2.26168827
1694390769.103801,00:06:09.103801,36,424630.05155582,586756.19933774,2.26454757
1694390784.482801,00:06:24.482801,38,424629.88174558,586721.54568555,2.25489502
1694390791.791801,00:06:31.791801,38,424629.76488288,586705.08076551,2.25382495
1694390799.146801,00:06:39.146801,39,424629.65472674,586688.45800883,2.25752962
1694390813.642801,00:06:53.642801,40,424629.51442575,586655.76087672,2.25616143
1694390821.148801,00:07:01.148801,41,424629.41993697,586638.75836665,2.26132385
1694390828.415801,00:07:08.415801,42,424629.28765534,586622.24425799,2.26629965
1694390842.733801,00:07:22.733801,43,424629.55871449,586589.82952792,2.26389747
1694390849.944801,00:07:29.944801,44,424629.69215575,586573.52667147,2.26207111
1694390857.764801,00:07:37.764801,45,424629.78091379,586555.79734904,2.26427057
1694390872.542801,00:07:52.542801,46,424629.72018314,586522.33739955,2.26278700
1694390879.695801,00:07:59.695801,47,424629.79360668,586506.17171962,2.26098708
1694390894.993801,00:08:14.993801,49,424630.09706560,586471.55967051,2.26268236
1694390901.872801,00:08:21.872801,49,424630.21781624,586455.93017585,2.26739797
1694390909.541801,00:08:29.541801,50,424630.37217309,586438.51904876,2.27101967
1694390924.002801,00:08:44.002801,52,424630.82449435,586405.67489440,2.27425666
1694390931.740801,00:08:51.740801,52,424630.90237161,586388.05878264,2.27333414
1694390938.645801,00:08:58.645801,53,424630.86100878,586372.37283236,2.27269131
