,,,V1 Easting,V1 Northing,V1 Bottom Speed
Time,Time,Shot,Value (Meters),Value (Meters),Value (Units per second)
1694304002.421801,00:00:02.421801,,423876.13415282,569504.93590335,2.05862957
1694304010.255801,00:00:10.255801,,423875.55548095,569488.85656719,2.05424599
1694304018.710801,00:00:18.710801,1,423874.71694045,569471.39361362,2.06001091
1694304026.424801,00:00:26.424801,2,423873.89753782,569455.40380649,2.06524247
1694304042.310801,00:00:42.310801,3,423871.93164264,569422.53185062,2.06588746
1694304050.686801,00:00:50.686801,4,423870.70768415,569405.14881496,2.07234094
1694304058.581801,00:00:58.581801,5,423869.58306598,569388.72625141,2.07727467
1694304067.003801,00:01:07.003801,6,423868.45690834,569371.22300128,2.07989343
1694304082.601801,00:01:22.601801,7,423866.39912068,569338.68350009,2.08891723
1694304090.686801,00:01:30.686801,8,423865.35952674,569321.73560314,2.09359158
1694304098.239801,00:01:38.239801,9,423864.24350237,569305.91024951,2.09737141
1694304113.927801,00:01:53.927801,10,423862.31579184,569272.98519687,2.10357059
1694304122.595801,00:02:02.595801,11,423861.37238698,569254.89031963,2.09533699
1694304130.397801,00:02:10.397801,12,423860.54089849,569238.61391048,2.09334861
1694304138.750801,00:02:18.750801,13,423859.90866285,569221.23302059,2.08813269
1694304154.836801,00:02:34.836801,14,423858.92504763,569187.80730800,2.08371717
1694304162.744801,00:02:42.744801,15,423858.24958711,569171.46918659,2.07522929
1694304170.797801,00:02:50.797801,16,423857.57179641,569154.79125766,2.07427709
1694304178.785801,00:02:58.785801,17,423857.04747277,569138.22420482,2.07606545
1694304194.293801,00:03:14.293801,18,423855.97894793,569106.08036403,2.07338280
1694304202.651801,00:03:22.651801,19,423855.33347845,569088.65736189,2.08023566
1694304210.175801,00:03:30.175801,20,423854.75713402,569072.76304617,2.09451714
1694304218.192801,00:03:38.192801,21,423854.20981985,569055.73385420,2.10451574
1694304234.185801,00:03:54.185801,22,423852.78072590,569021.82084837,2.10956287
1694304242.031801,00:04:02.031801,23,423851.89473158,569005.20536222,2.11351592
1694304249.472801,00:04:09.472801,24,423851.14486325,568989.46344175,2.11347399
1694304265.414801,00:04:25.414801,26,423849.19511056,568955.78515424,2.11632996
1694304273.777801,00:04:33.777801,26,423848.23009074,568938.12396421,2.11453279
1694304281.242801,00:04:41.242801,27,423847.42884260,568922.37722673,2.11088106
1694304289.494801,00:04:49.494801,28,423846.44856089,568904.96815576,2.11224990
1694304305.349801,00:05:05.349801,30,423844.29232520,568871.50180521,2.11656134
1694304313.416801,00:05:13.416801,30,423843.21827430,568854.52024164,2.11366753
1694304321.175801,00:05:21.175801,31,423842.13293606,568838.21361627,2.10915484
1694304328.699801,00:05:28.699801,32,423840.96513790,568822.31416692,2.11480566
1694304344.942801,00:05:44.942801,33,423838.59574527,568788.10559454,2.11475175
1694304352.915801,00:05:52.915801,34,423837.42830616,568771.39509954,2.10776248
1694304360.861801,00:06:00.861801,35,423836.28901511,568754.71646299,2.10611858
1694304376.218801,00:06:16.218801,37,423834.06471306,568722.54357710,2.10184239
1694304383.950801,00:06:23.950801,37,423832.94928652,568706.35648336,2.10000541
1694304392.124801,00:06:32.124801,38,423831.88034195,568689.17713918,2.10181404
1694304400.157801,00:06:40.157801,39,423830.72852535,568672.27591455,2.10465338
1694304415.777801,00:06:55.777801,41,423828.46154947,568639.31324900,2.10971738
1694304424.118801,00:07:04.118801,41,423827.38529213,568621.69382608,2.11270625
1694304431.579801,00:07:11.579801,42,423826.51347084,568605.92935980,2.11303061
1694304439.831801,00:07:19.831801,43,423825.52978952,568588.54187811,2.10862397
1694304455.845801,00:07:35.845801,45,423823.70392616,568554.77369726,2.10591594
1694304463.291801,00:07:43.291801,45,423822.91223736,568539.10494554,2.10489169
1694304471.143801,00:07:51.143801,46,423822.31625934,568522.44583261,2.11366546
1694304479.441802,00:07:59.441802,47,423821.58163042,568504.75702989,2.12252200
1694304494.159801,00:08:14.159801,48,423820.46499415,568473.12963617,2.14105063
1694304501.806801,00:08:21.806801,49,423820.05099307,568456.49461115,2.15514146
1694304509.996801,00:08:29.996801,50,423819.60024412,568438.74687708,2.15592976
1694304525.775801,00:08:45.775801,52,423819.01467056,568404.58829630,2.15954465
1694304533.395801,00:08:53.395801,52,423818.73666192,568388.07718599,2.15845949
1694304540.911801,00:09:00.911801,53,423818.35507540,568371.72826136,2.16569519
1694304556.372801,00:09:16.372801,55,423818.04643912,568338.21208704,2.16479885
1694304564.241801,00:09:24.241801,55,423817.87467567,568321.10404528,2.16800412
1694304571.809801,00:09:31.809801,56,423817.59435062,568304.65130747,2.17077579
1694304579.516801,00:09:39.516801,57,423817.35843669,568287.87191713,2.17452326
1694304594.641801,00:09:54.641801,58,423816.84257172,568255.06619585,2.16895728
1694304602.429801,00:10:02.429801,59,423816.36531015,568238.20499911,2.16837104
1694304610.172801,00:10:10.172801,60,423815.87722821,568221.46391024,2.16606934
1694304625.497801,00:10:25.497801,62,423814.89063080,568188.39679827,2.16000954
1694304632.842801,00:10:32.842801,62,423814.32571651,568172.61838450,2.15311944
1694304640.311801,00:10:40.311801,63,423813.57522382,568156.43139186,2.16290364
1694304648.590801,00:10:48.590801,64,423812.71483846,568138.61691584,2.15915909
1694304664.163801,00:11:04.163801,65,423811.13322122,568105.05806651,2.15876807
1694304671.841801,00:11:11.841801,66,423810.48354156,568088.47580638,2.16110509
1694304679.296801,00:11:19.296801,67,423809.73409922,568072.46916499,2.15485806
1694304694.966801,00:11:34.966801,68,423807.87964852,568038.85416331,2.15218504
1694304702.961801,00:11:42.961801,69,423806.89321317,568021.67702593,2.15254477
1694304710.615801,00:11:50.615801,70,423805.96356119,568005.24073329,2.15167120
1694304725.550801,00:12:05.550801,72,423804.35950340,567973.05321421,2.15649458
1694304733.737801,00:12:13.737801,72,423803.45342459,567955.43525996,2.15438234
1694304741.044801,00:12:21.044801,73,423802.70673223,567939.70707526,2.15651330
1694304749.112801,00:12:29.112801,74,423801.97690882,567922.31367888,2.15720312
1694304765.098801,00:12:45.098801,76,423800.99451108,567887.92176451,2.15229216
1694304772.931801,00:12:52.931801,76,423800.52091984,567871.09946265,2.14975392
1694304780.680801,00:13:00.680801,77,423800.14447711,567854.36688056,2.15584473
1694304788.111801,00:13:08.111801,78,423799.94154399,567838.34335723,2.15660948
1694304803.513801,00:13:23.513801,79,423799.50367725,567805.11896955,2.15505983
1694304811.406801,00:13:31.406801,80,423799.40284676,567788.04894506,2.15705294
1694304818.867801,00:13:38.867801,81,423799.43376532,567771.94358694,2.15561123
1694304834.197801,00:13:54.197801,82,423799.58083504,567738.75108587,2.16133257
1694304842.383801,00:14:02.383801,83,423799.61418464,567721.07326185,2.15896972
1694304849.980801,00:14:09.980801,84,423799.69872429,567704.63799917,2.16193022
1694304865.213801,00:14:25.213801,85,423800.18150511,567671.65894949,2.16464313
1694304873.007801,00:14:33.007801,86,423800.59859087,567654.75637113,2.16586468
1694304880.727801,00:14:40.727801,87,423800.86150315,567638.06254636,2.16296286
1694304896.012801,00:14:56.012801,89,423801.32051136,567604.92341673,2.16590110
1694304903.289801,00:15:03.289801,89,423801.50584707,567589.12869321,2.16852876
1694304911.009801,00:15:11.009801,90,423801.72679465,567572.39177763,2.16926408
1694304926.403801,00:15:26.403801,91,423802.02475028,567539.06239759,2.16595440
1694304934.422801,00:15:34.422801,92,423802.23338168,567521.68069326,2.16670370
1694304942.341801,00:15:42.341801,93,423802.44086695,567504.55524122,2.16438067
1694304957.380801,00:15:57.380801,95,423802.90156556,567472.05234968,2.16088787
1694304965.095801,00:16:05.095801,95,423803.07926629,567455.33603727,2.16351086
1694304973.244801,00:16:13.244801,96,423803.38947672,567437.69130956,2.16684195
1694304980.583801,00:16:20.583801,97,423803.63984249,567421.75953065,2.16796612
1694304996.245801,00:16:36.245801,98,423804.07217178,567387.81693803,2.16742619
1694305003.508801,00:16:43.508801,99,423804.18098973,567372.13053084,2.16129015
1694305019.040801,00:16:59.040801,101,423804.68752961,567338.49713851,2.16635560
1694305026.874801,00:17:06.874801,101,423804.80918600,567321.57035590,2.16275030
1694305034.447801,00:17:14.447801,102,423805.01331654,567305.16634322,2.16683437
1694305042.277801,00:17:22.277801,103,423805.23198755,567288.19255019,2.16851968
1694305057.267801,00:17:37.267801,104,423805.45987871,567255.73815108,2.16439898
1694305064.901801,00:17:44.901801,105,423805.48514104,567239.14794493,2.16940780
1694305072.742801,00:17:52.742801,106,423805.45996172,567222.10135604,2.17265804
1694305088.105801,00:18:08.105801,107,423805.24104459,567188.74824477,2.17193786
1694305095.393801,00:18:15.393801,108,423805.17951177,567172.97007800,2.16775622
1694305103.154801,00:18:23.154801,109,423804.94677945,567156.13926173,2.16768505
