,,,V1 Easting,V1 Northing,V1 Bottom Speed
Time,Time,Shot,Value (Meters),Value (Meters),Value (Units per second)
1694044802.795801,00:00:02.795801,,409729.38892711,536105.32868008,2.30380203
1694044817.051801,00:00:17.051801,,409730.77006746,536138.15642742,2.30148992
1694044824.519801,00:00:24.519801,1,409731.49648423,536155.49908260,2.31027996
1694044839.144801,00:00:39.144801,3,409732.95279522,536189.39312557,2.31317081
1694044846.201801,00:00:46.201801,3,409733.66722710,536205.71401600,2.31159774
1694044853.220801,00:00:53.220801,4,409734.28954423,536221.96324925,2.31399123
1694044867.250801,00:01:07.250801,5,409735.19773544,536254.39416889,2.30782334
1694044874.561801,00:01:14.561801,6,409735.82705654,536271.31499867,2.30832624
1694044889.044801,00:01:29.044801,8,409737.25897325,536304.93372730,2.31696193
1694044896.572801,00:01:36.572801,8,409737.80015428,536322.26917652,2.30764532
1694044903.630801,00:01:43.630801,9,409738.51498027,536338.60009579,2.31021737
1694044918.330801,00:01:58.330801,11,409740.03850658,536372.66216473,2.31647093
1694044925.310801,00:02:05.310801,11,409740.56196738,536388.74224667,2.30859550
1694044932.722801,00:02:12.722801,12,409741.24511797,536405.86233715,2.30704276
1694044946.979801,00:02:26.979801,13,409742.34085984,536438.83135418,2.30951051
1694044953.808801,00:02:33.808801,14,409742.99432648,536454.74483208,2.32076500
1694044968.642801,00:02:48.642801,16,409743.93653698,536488.90679649,2.31016393
1694044975.840801,00:02:55.840801,16,409744.34844659,536505.41257958,2.30222066
1694044982.797801,00:03:02.797801,17,409744.61058299,536521.41763214,2.30229655
1694044997.539801,00:03:17.539801,18,409745.07720006,536555.28689102,2.29759776
1694045004.638801,00:03:24.638801,19,409745.41038634,536571.64971043,2.29986462
1694045019.152801,00:03:39.152801,21,409746.07268425,536605.15160252,2.30490328
1694045026.774801,00:03:46.774801,21,409746.41593997,536622.74457050,2.30726338
1694045033.588801,00:03:53.588801,22,409746.80972658,536638.45878388,2.30699193
1694045048.252801,00:04:08.252801,24,409747.84186290,536672.28625656,2.30526138
1694045055.614801,00:04:15.614801,24,409748.39178525,536689.35261513,2.31072979
1694045062.440801,00:04:22.440801,25,409748.95333366,536705.23309780,2.31743208
1694045076.838801,00:04:36.838801,26,409750.43039184,536738.68816830,2.32087825
1694045084.239801,00:04:44.239801,27,409751.28401689,536755.86673618,2.32249818
1694045098.557801,00:04:58.557801,29,409752.66470055,536788.91989399,2.30768988
1694045105.771801,00:05:05.771801,29,409753.53482990,536805.62457920,2.31222242
1694045112.971801,00:05:12.971801,30,409754.17387603,536822.22958637,2.30801159
1694045127.250801,00:05:27.250801,31,409755.29922174,536855.08495976,2.30098187
1694045134.930801,00:05:34.930801,32,409755.76339685,536872.71302296,2.29713726
1694045141.965801,00:05:41.965801,33,409756.18028514,536888.90351750,2.29765533
1694045156.683801,00:05:56.683801,34,409757.12323265,536922.74349476,2.30047983
1694045163.575801,00:06:03.575801,35,409757.47407727,536938.51462437,2.29476185
1694045178.001801,00:06:18.001801,37,409757.89862131,536971.60679508,2.29286203
1694045185.741801,00:06:25.741801,37,409757.93558632,536989.37390972,2.29238826
1694045192.743801,00:06:32.743801,38,409758.16148293,537005.50973774,2.29890616
1694045207.014801,00:06:47.014801,39,409758.33464954,537038.24311335,2.29360464
1694045214.752801,00:06:54.752801,40,409758.47753597,537055.99005014,2.29308364
1694045228.855801,00:07:08.855801,42,409758.61785369,537088.44970972,2.29948316
1694045236.378801,00:07:16.378801,42,409758.50189379,537105.70111734,2.29307111
1694045243.152801,00:07:23.152801,43,409758.37523018,537121.36437208,2.29934428
1694045257.449801,00:07:37.449801,44,409758.58589502,537154.44637281,2.30831685
1694045264.971801,00:07:44.971801,45,409758.64543059,537171.88554556,2.31102055
1694045272.491801,00:07:52.491801,46,409758.80170217,537189.32563002,2.31457958
1694045286.333801,00:08:06.333801,47,409759.01224517,537221.39604551,2.31216488
1694045293.734801,00:08:13.734801,48,409759.23678256,537238.59393866,2.31662529
