,,,V1 Easting,V1 Northing,V1 Bottom Speed
Time,Time,Shot,Value (Meters),Value (Meters),Value (Units per second)
1693724115.500000,06:55:15.500000,,419835.99205206,614150.49285944,2.57078084
1693724125.500000,06:55:25.500000,1,419836.53765319,614124.69522913,2.57627760
1693724135.500000,06:55:35.500000,2,419836.70911753,614098.73572595,2.58986727
1693724145.500000,06:55:45.500000,3,419836.96129974,614072.87390764,2.58459811
1693724155.500000,06:55:55.500000,3,419836.97065486,614047.20433481,2.56947432
1693724165.000000,06:56:05.000000,5,419837.74555631,614023.30706842,2.53592775
1693724174.500000,06:56:14.500000,5,419838.97531660,613999.80279977,2.49828066
1693724184.500000,06:56:24.500000,6,419840.33119733,613975.02808054,2.49722383
1693724194.500000,06:56:34.500000,7,419842.05663986,613950.70192011,2.45020919
1693724204.000000,06:56:44.000000,8,419843.59505076,613927.33492906,2.47436300
1693724213.500000,06:56:53.500000,9,419845.30649967,613904.07036646,2.47836733
1693724223.500000,06:57:03.500000,10,419846.84356887,613879.77675684,2.45036469
1693724233.500000,06:57:13.500000,11,419848.32703133,613855.58835275,2.42747983
1693724246.000000,06:57:26.000000,13,419850.39419360,613825.46684892,2.41407201
1693724255.500000,06:57:35.500000,14,419851.48308833,613802.66146143,2.40440626
1693724264.500000,06:57:44.500000,14,419852.38883014,613781.05215318,2.39696410
1693724274.000000,06:57:54.000000,15,419853.17883618,613758.40796716,2.37991230
1693724286.500000,06:58:06.500000,17,419853.33044597,613728.74765642,2.35893600
1693724295.500000,06:58:15.500000,17,419853.47721515,613707.51564653,2.35051416
1693724305.000000,06:58:25.000000,18,419853.75889571,613685.10033853,2.34181892
1693724314.500000,06:58:34.500000,19,419853.33228247,613662.59740826,2.36407361
1693724326.500000,06:58:46.500000,21,419852.63353573,613634.19991299,2.36524093
1693724336.000000,06:58:56.000000,22,419851.69463484,613611.72049519,2.36351828
1693724346.000000,06:59:06.000000,23,419850.60371738,613587.94549748,2.39235916
1693724355.500000,06:59:15.500000,23,419849.79820775,613565.50019643,2.36417650
1693724365.500000,06:59:25.500000,24,419848.95423280,613541.76005933,2.38070456
1693724375.500000,06:59:35.500000,25,419848.04795914,613517.90768620,2.38213880
1693724385.000000,06:59:45.000000,26,419847.07069789,613495.16709325,2.39227511
1693724394.500000,06:59:54.500000,27,419846.17080598,613472.20082471,2.42402355
1693724407.000000,07:00:07.000000,29,419845.81785112,613442.61538884,2.37968224
1693724413.500000,07:00:13.500000,29,419845.99635245,613426.95255181,2.39139326
1693724427.000000,07:00:27.000000,31,419845.98567345,613394.46619698,2.41788837
1693724436.500000,07:00:36.500000,32,419846.46637841,613371.53689095,2.42632511
1693724445.500000,07:00:45.500000,32,419846.61584268,613349.80955979,2.43208947
1693724454.500000,07:00:54.500000,33,419846.80228276,613328.32017991,2.40171473
1693724467.000000,07:01:07.000000,35,419846.63071378,613298.83279130,2.37676785
1693724476.500000,07:01:16.500000,36,419846.82587629,613276.65581033,2.34306879
1693724486.500000,07:01:26.500000,37,419846.79395414,613253.34389970,2.33904208
1693724496.500000,07:01:36.500000,38,419846.97237051,613229.89010331,2.34599144
1693724506.000000,07:01:46.000000,39,419846.80195392,613207.81485841,2.33608184
1693724515.500000,07:01:55.500000,39,419846.80112266,613185.78505230,2.33051653
1693724525.000000,07:02:05.000000,40,419846.34636500,613163.77546405,2.33004886
1693724534.500000,07:02:14.500000,41,419846.20155289,613141.67738437,2.31882124
1693724544.500000,07:02:24.500000,42,419846.14946356,613117.98379802,2.92236500
1693724556.500000,07:02:36.500000,44,419845.56575825,613090.76660633,2.31070798
1693724566.000000,07:02:46.000000,45,419845.23791977,613069.02109432,2.28081903
1693724575.500000,07:02:55.500000,45,419845.46420468,613047.22430706,2.29206221
1693724585.000000,07:03:05.000000,46,419845.96542764,613025.68340396,2.28958114
1693724594.500000,07:03:14.500000,47,419846.69434983,613004.13657474,2.29038900
1693724604.000000,07:03:24.000000,48,419847.03407425,612982.38696956,2.32012745
1693724616.500000,07:03:36.500000,50,419847.38910446,612953.70629406,2.30905528
1693724625.682791,07:03:45.682791,50,419847.42570186,612932.23173999,2.33989420
1693724635.500000,07:03:55.500000,51,419847.63082077,612908.96172428,2.37250405
1693724645.000000,07:04:05.000000,52,419847.71728045,612886.37590885,2.38407845
1693724657.000000,07:04:17.000000,54,419847.12598265,612857.73170948,2.38890926
1693724666.500000,07:04:26.500000,55,419846.96343828,612834.68235683,2.41869151
1693724675.500000,07:04:35.500000,55,419846.82875594,612812.79737758,2.43031155
1693724684.500000,07:04:44.500000,56,419846.63169435,612790.90459346,2.43497616
1693724697.000000,07:04:57.000000,58,419846.33801553,612760.77848529,2.41237386
1693724706.500000,07:05:06.500000,59,419846.24059589,612737.89472675,2.40807682
1693724715.500000,07:05:15.500000,59,419846.00660351,612716.13691009,2.41084274
1693724725.500000,07:05:25.500000,60,419845.72176796,612691.82757820,2.41731545
1693724735.000000,07:05:35.000000,61,419845.66998483,612668.66119827,2.44370078
1693724745.500000,07:05:45.500000,62,419845.57313091,612643.30407013,2.41045386
1693724755.000000,07:05:55.000000,63,419845.35321518,612620.19227280,2.41067502
1693724764.500000,07:06:04.500000,64,419845.43150297,612597.07160820,2.41599495
1693724776.500000,07:06:16.500000,66,419845.44467100,612567.91381134,2.42621095
1693724786.000000,07:06:26.000000,67,419845.39256731,612544.84629311,2.42488629
1693724795.500000,07:06:35.500000,67,419845.14889623,612521.82878174,2.41115554
1693724804.500000,07:06:44.500000,68,419845.06616653,612499.82469047,2.43070667
1693724814.000000,07:06:54.000000,69,419844.74506377,612476.62916054,2.43321856
1693724826.000000,07:07:06.000000,71,419844.77532637,612447.21837105,2.45552576
1693724835.500000,07:07:15.500000,71,419844.96703601,612424.10105575,2.44935364
1693724845.000000,07:07:25.000000,72,419845.12003054,612401.04974998,2.44275454
1693724855.000000,07:07:35.000000,73,419845.38646154,612376.75652183,2.43971309
1693724864.500000,07:07:44.500000,74,419845.75654294,612353.81154694,2.43407079
1693724874.000000,07:07:54.000000,75,419846.16396974,612331.04025520,2.41836724
1693724887.500000,07:08:07.500000,77,419846.33832219,612298.72323097,2.40741141
1693724894.000000,07:08:14.000000,77,419847.02391431,612283.10499252,2.40987813
1693724906.500000,07:08:26.500000,79,419846.72555569,612253.12614502,2.40844564
1693724916.000000,07:08:36.000000,80,419846.71487186,612230.28953648,2.39800947
1693724925.000000,07:08:45.000000,80,419846.84121405,612208.41442967,2.42301421
1693724934.500000,07:08:54.500000,81,419846.95300986,612185.45786000,2.42151086
1693724947.000000,07:09:07.000000,83,419846.86450061,612155.30811406,2.40298929
1693724957.000000,07:09:17.000000,84,419846.81324061,612130.50428296,2.45307202
1693724963.500000,07:09:23.500000,84,419846.93740105,612114.34042836,2.46891884
1693724977.000000,07:09:37.000000,86,419847.03882177,612080.46378804,2.50324878
1693724986.500000,07:09:46.500000,87,419847.20635885,612056.88939190,2.48738590
1693724996.000000,07:09:56.000000,88,419847.26703201,612033.36252690,2.47898186
1693725005.500000,07:10:05.500000,88,419847.62372420,612009.83429051,2.48228409
1693725014.500000,07:10:14.500000,89,419847.96180324,611987.62981511,2.46736801
1693725027.000000,07:10:27.000000,91,419847.81808590,611956.95899106,2.44936025
1693725033.500000,07:10:33.500000,91,419848.24141064,611940.90022564,2.46450179
1693725044.000000,07:10:44.000000,92,419848.09351105,611915.23886967,2.44255816
1693725054.000000,07:10:54.000000,93,419847.95004832,611890.63277722,2.45338533
1693725066.500000,07:11:06.500000,95,419847.40724158,611859.82669735,2.45943990
1693725076.500000,07:11:16.500000,96,419847.08829417,611835.00338269,2.47218695
1693725086.500000,07:11:26.500000,97,419846.91746204,611810.06574536,2.48499790
1693725096.500000,07:11:36.500000,98,419846.67199341,611785.21751690,2.48031309
