,,,V1 Easting,V1 Northing,V1 Bottom Speed
Time,Time,Shot,Value (Meters),Value (Meters),Value (Units per second)
1693785603.171801,00:00:03.171801,,407631.32020173,567939.90477365,2.34548164
1693785609.841801,00:00:09.841801,,407631.10302270,567955.57596009,2.34759957
1693785624.174801,00:00:24.174801,1,407630.84907574,567989.11180680,2.34294467
1693785631.708801,00:00:31.708801,2,407630.89026456,568006.69513696,2.33806992
1693785645.539801,00:00:45.539801,4,407630.73523841,568038.94081109,2.33198078
1693785652.889801,00:00:52.889801,4,407630.59062188,568056.15887063,2.33717775
1693785659.764801,00:00:59.764801,5,407630.48161240,568072.18146890,2.33239447
1693785674.073801,00:01:14.073801,6,407630.32571108,568105.66687387,2.33820729
1693785680.856801,00:01:20.856801,7,407630.17904895,568121.56284898,2.34226256
1693785695.148801,00:01:35.148801,9,407629.96105203,568154.99444764,2.34273630
1693785702.436801,00:01:42.436801,9,407629.70122808,568172.03869050,2.34332851
1693785709.758801,00:01:49.758801,10,407629.44711694,568189.10579484,2.33864876
1693785723.941801,00:02:03.941801,11,407629.10017785,568222.11441606,2.32697815
1693785730.994801,00:02:10.994801,12,407629.03827794,568238.55014222,2.32791926
1693785738.320801,00:02:18.320801,13,407628.88960723,568255.63778680,2.32945570
1693785752.822801,00:02:32.822801,14,407629.11180914,568289.37155908,2.32840645
1693785759.699801,00:02:39.699801,15,407629.23466139,568305.39239114,2.33068993
1693785774.253801,00:02:54.253801,16,407629.19784101,568339.31912988,2.33181245
1693785781.319801,00:03:01.319801,17,407628.98876072,568355.84952920,2.33556990
1693785788.670801,00:03:08.670801,18,407628.82927082,568373.00461762,2.33304268
1693785802.676801,00:03:22.676801,19,407628.69644850,568405.78932104,2.33631785
1693785809.732801,00:03:29.732801,20,407628.49290628,568422.30634985,2.33870164
1693785824.161801,00:03:44.161801,21,407628.59006670,568456.07763968,2.33910099
1693785830.818801,00:03:50.818801,22,407628.52200463,568471.65015230,2.34021569
1693785845.763801,00:04:05.763801,24,407628.21158287,568506.47816286,2.33025828
1693785852.643801,00:04:12.643801,24,407628.08032243,568522.60271654,2.33494751
1693785859.518801,00:04:19.518801,25,407628.01833576,568538.70196734,2.33663587
1693785874.114801,00:04:34.114801,26,407627.94837616,568572.97561465,2.34264063
