,,,V1 Easting,V1 Northing,V1 Bottom Speed
Time,Time,Shot,Value (Meters),Value (Meters),Value (Units per second)
1694649603.333801,00:00:03.333801,,413699.44505128,612173.75106616,2.36041160
1694649610.390801,00:00:10.390801,,413699.43190090,612190.38595767,2.35920262
1694649624.284801,00:00:24.284801,1,413699.48719705,612223.07072635,2.35390723
1694649631.606801,00:00:31.606801,2,413699.45188946,612240.30526538,2.35589372
1694649645.650801,00:00:45.650801,3,413699.35984839,612273.36290927,2.35585660
1694649652.776801,00:00:52.776801,4,413699.34986353,612290.14103122,2.35649482
1694649660.173801,00:01:00.173801,5,413699.34057673,612307.48846050,2.35058582
1694649674.328801,00:01:14.328801,6,413699.19035255,612340.79275127,2.35213421
1694649681.395801,00:01:21.395801,7,413699.09844151,612357.43016811,2.35349114
1694649695.249801,00:01:35.249801,8,413699.15676239,612390.05207057,2.35488796
1694649701.825801,00:01:41.825801,9,413699.26312510,612405.57126899,2.35909345
1694649716.238801,00:01:56.238801,11,413699.49710545,612439.52263923,2.35617438
1694649723.379801,00:02:03.379801,11,413699.52128012,612456.39204688,2.35933819
1694649737.135801,00:02:17.135801,13,413699.45667402,612488.92258735,2.36334181
1694649744.879801,00:02:24.879801,13,413699.50009691,612507.20026870,2.36096605
1694649751.695801,00:02:31.695801,14,413699.65769896,612523.30524345,2.35993259
1694649766.154801,00:02:46.154801,16,413699.79090853,612557.40890403,2.35914684
1694649772.918801,00:02:52.918801,16,413699.74994257,612573.33490653,2.35939717
1694649787.234801,00:03:07.234801,18,413699.58010101,612606.95529838,2.35167382
1694649794.422801,00:03:14.422801,18,413699.43004502,612623.88871284,2.35479435
1694649801.141801,00:03:21.141801,19,413699.35966249,612639.71648097,2.35630869
1694649815.292801,00:03:35.292801,20,413699.36894824,612673.03055263,2.35341802
1694649822.789801,00:03:42.789801,21,413699.35916225,612690.70275569,2.35557446
1694649836.942801,00:03:56.942801,23,413699.23281107,612723.99059749,2.35488453
1694649843.578801,00:04:03.578801,23,413699.17471360,612739.49803138,2.34545299
1694649850.903801,00:04:10.903801,24,413699.12425230,612756.65676284,2.34480079
1694649865.294801,00:04:25.294801,25,413698.95552580,612790.38835692,2.34598251
1694649872.489801,00:04:32.489801,26,413699.03905549,612807.39236808,2.35488387
1694649885.993801,00:04:45.993801,27,413698.98999489,612839.38762069,2.36476445
1694649893.459801,00:04:53.459801,28,413698.96336379,612857.03787017,2.36240399
1694649900.150801,00:05:00.150801,29,413699.04419461,612872.82919192,2.36078451
1694649914.022799,00:05:14.022799,30,413699.12857316,612905.54772830,2.36168833
1694649924.500000,00:05:24.500000,31,413699.19567228,612930.15803790,2.35155714
1694649935.092799,00:05:35.092799,32,413699.29925240,612955.09453082,2.35603501
1694649946.000000,00:05:46.000000,34,413699.26767993,612980.72837710,2.35365191
1694649956.161799,00:05:56.161799,35,413699.44379569,613004.67354655,2.35344302
1694649966.500000,00:06:06.500000,36,413699.67474767,613029.00445056,2.35108478
1694649974.000000,00:06:14.000000,36,413699.77648175,613046.64235950,2.35192969
1694649984.253799,00:06:24.253799,37,413699.93329478,613070.64897418,2.34328157
1694649994.500000,00:06:34.500000,38,413700.15987021,613094.59296680,2.33520375
1694650005.323800,00:06:45.323800,39,413700.41504449,613120.01128875,2.34505400
1694650016.000000,00:06:56.000000,41,413700.54020937,613145.06538116,2.34951889
1694650026.392800,00:07:06.392800,42,413700.68684985,613169.50501357,2.35584660
1694650036.500000,00:07:16.500000,43,413700.72495643,613193.29708205,2.35403971
1694650044.000000,00:07:24.000000,43,413700.74924987,613210.93537246,2.35345369
1694650054.500000,00:07:34.500000,44,413700.84241664,613235.63329993,2.35236893
1694650067.000000,00:07:47.000000,46,413700.72016280,613265.05261909,2.35468120
1694650076.500000,00:07:56.500000,47,413700.59282810,613287.37576972,2.34874841
1694650086.000000,00:08:06.000000,48,413700.31399802,613309.43002235,2.33534020
1694650096.000000,00:08:16.000000,49,413699.96284766,613332.55800162,2.33536164
1694650106.000000,00:08:26.000000,50,413699.67763353,613355.65859519,2.31959575
1694650115.000000,00:08:35.000000,50,413699.66600814,613376.41276847,2.30012593
