,,,V1 Easting,V1 Northing,V1 Bottom Speed
Time,Time,Shot,Value (Meters),Value (Meters),Value (Units per second)
1694908797.296801,23:59:57.296801,,415829.25715153,558289.62366799,2.35871480
1694908810.818801,00:00:10.818801,,415829.41089197,558321.48967293,2.35620128
1694908818.238801,00:00:18.238801,1,415829.37411269,558338.94719628,2.35385362
1694908832.301801,00:00:32.301801,2,415829.33597373,558372.09681252,2.35800693
1694908839.446801,00:00:39.446801,3,415829.44047790,558388.88385132,2.35525667
1694908854.100801,00:00:54.100801,5,415829.72486870,558423.22979477,2.34765704
1694908860.834801,00:01:00.834801,5,415829.72168889,558439.04491165,2.34764824
1694908867.514801,00:01:07.514801,6,415829.74290876,558454.78485897,2.35076144
1694908882.083801,00:01:22.083801,7,415829.84165570,558489.14780834,2.35630914
1694908889.019801,00:01:29.019801,8,415830.07617058,558505.55587796,2.36033565
1694908902.982801,00:01:42.982801,9,415830.42402201,558538.63672283,2.36500634
1694908909.535801,00:01:49.535801,10,415830.51328370,558554.15682438,2.36524715
1694908917.223801,00:01:57.223801,11,415830.62859313,558572.35821369,2.36439897
1694908930.986801,00:02:10.986801,12,415830.93881870,558604.96640614,2.36513849
1694908938.162801,00:02:18.162801,13,415831.07187799,558621.98358563,2.36840476
1694908952.445801,00:02:32.445801,14,415831.17055132,558655.80855206,2.36786423
1694908959.277801,00:02:39.277801,15,415831.29167805,558671.94638851,2.36292760
1694908973.574801,00:02:53.574801,17,415831.64153505,558705.91388348,2.37090534
1694908980.348801,00:03:00.348801,17,415831.80751377,558722.01604679,2.37222261
1694908994.490801,00:03:14.490801,19,415831.96101210,558755.72705677,2.38267163
1694909001.817801,00:03:21.817801,19,415831.96059858,558773.15459664,2.38112639
1694909008.362801,00:03:28.362801,20,415831.93128167,558788.70161659,2.38121021
1694909022.905801,00:03:42.905801,21,415832.10188245,558823.17062599,2.37502948
1694909029.693801,00:03:49.693801,22,415832.04860833,558839.34002716,2.38061795
1694909036.947801,00:03:56.947801,23,415831.94808610,558856.59714348,2.38087591
1694909050.964801,00:04:10.964801,24,415831.92936943,558889.87573464,2.37838053
1694909057.593801,00:04:17.593801,25,415831.87562674,558905.54166920,2.37039985
1694909071.904801,00:04:31.904801,26,415831.64444730,558939.32262547,2.36163811
1694909079.079801,00:04:39.079801,27,415831.72290099,558956.30632908,2.36323330
1694909093.023801,00:04:53.023801,29,415831.77552736,558989.23473484,2.36475397
1694909099.870801,00:04:59.870801,29,415831.82439117,559005.37911923,2.36322944
1694909107.458801,00:05:07.458801,30,415831.77515896,559023.24103672,2.35953579
1694909121.237801,00:05:21.237801,31,415831.89328033,559055.68402989,2.35917114
1694909128.439801,00:05:28.439801,32,415831.86929496,559072.61615307,2.35529048
1694909142.090801,00:05:42.090801,33,415831.61854483,559104.79881985,2.35668067
1694909149.496801,00:05:49.496801,34,415831.57194288,559122.34996540,2.36271663
1694909163.261801,00:06:03.261801,36,415831.53086261,559155.02075703,2.36929671
1694909169.941801,00:06:09.941801,36,415831.55194058,559170.89931805,2.37253412
1694909177.461801,00:06:17.461801,37,415831.50864587,559188.69826634,2.36873565
1694909191.713801,00:06:31.713801,38,415831.30142329,559222.39138539,2.35785210
1694909198.848801,00:06:38.848801,39,415831.22724395,559239.31472750,2.36206245
1694909213.078801,00:06:53.078801,41,415831.28334149,559273.25442477,2.37731314
1694909219.712801,00:06:59.712801,41,415831.20574634,559289.03200407,2.37754257
1694909233.582801,00:07:13.582801,43,415831.06597352,559321.90286894,2.37178970
1694909240.656801,00:07:20.656801,43,415831.06574660,559338.64341612,2.36875490
1694909248.095801,00:07:28.095801,44,415831.12950029,559356.33227797,2.37296192
1694909262.033801,00:07:42.033801,45,415831.21719135,559389.51126357,2.37971280
1694909268.567801,00:07:48.567801,46,415831.15600853,559405.02110262,2.37786086
1694909282.969801,00:08:02.969801,47,415831.06458975,559439.13140459,2.37133704
1694909289.674801,00:08:09.674801,48,415831.10356514,559455.01746912,2.37114326
