,,,V1 Easting,V1 Northing,V1 Bottom Speed
Time,Time,Shot,Value (Meters),Value (Meters),Value (Units per second)
1693958402.130801,00:00:02.130801,,409053.98665601,540355.99805983,2.32849824
1693958416.538801,00:00:16.538801,,409053.86727462,540389.42910918,2.32640166
1693958423.445801,00:00:23.445801,1,409053.72398147,540405.48618468,2.32603570
1693958437.320801,00:00:37.320801,3,409053.57290479,540437.80507429,2.32609838
1693958444.797801,00:00:44.797801,3,409053.50350401,540455.33024367,2.33354507
1693958451.423801,00:00:51.423801,4,409053.19082755,540470.83947905,2.33504344
1693958465.970801,00:01:05.970801,5,409052.80830849,540505.08710631,2.34824903
1693958473.200801,00:01:13.200801,6,409052.69128116,540522.14358099,2.35204021
1693958487.201801,00:01:27.201801,8,409052.37805827,540555.13355215,2.35449858
1693958494.599801,00:01:34.599801,8,409052.04169752,540572.51723822,2.35093428
1693958501.658801,00:01:41.658801,9,409051.68692635,540589.06270750,2.34701399
1693958515.382801,00:01:55.382801,10,409050.92545747,540621.54639586,2.36177219
1693958522.610801,00:02:02.610801,11,409050.61328493,540638.60096129,2.36196167
1693958536.671801,00:02:16.671801,12,409050.42262935,540671.61742934,2.35288076
1693958543.342801,00:02:23.342801,13,409050.37112320,540687.28722819,2.35354833
1693958550.596801,00:02:30.596801,14,409050.36161052,540704.21784266,2.34374809
1693958565.230801,00:02:45.230801,15,409050.44000519,540738.51525934,2.34493913
1693958572.720801,00:02:52.720801,16,409050.38701249,540756.06408747,2.34576119
1693958586.602801,00:03:06.602801,17,409050.33682149,540788.54961832,2.34334027
1693958594.001801,00:03:14.001801,18,409050.33654039,540805.81634386,2.33943075
1693958608.145801,00:03:28.145801,20,409050.26440055,540838.92504321,2.34292971
1693958615.080801,00:03:35.080801,20,409050.19260673,540855.14277850,2.34163931
1693958622.661801,00:03:42.661801,21,409050.11115298,540872.78382502,2.33247605
1693958636.368801,00:03:56.368801,22,409049.94869812,540904.78024684,2.33415631
1693958643.711801,00:04:03.711801,23,409049.93825755,540921.99938784,2.34045221
1693958657.684801,00:04:17.684801,25,409049.85869035,540954.71877108,2.34120288
1693958664.745801,00:04:24.745801,25,409049.82817157,540971.28482447,2.34261306
1693958672.117801,00:04:32.117801,26,409049.79191033,540988.57076083,2.34129455
1693958686.257801,00:04:46.257801,27,409049.80111442,541021.78841601,2.34699468
1693958693.298801,00:04:53.298801,28,409049.54799931,541038.26916133,2.34448876
1693958700.906801,00:05:00.906801,29,409049.30976265,541056.05059443,2.33997358
1693958715.075801,00:05:15.075801,30,409049.43729210,541089.26285182,2.34546549
1693958722.087801,00:05:22.087801,31,409049.48833774,541105.70233546,2.34569400
1693958736.154801,00:05:36.154801,32,409049.75186737,541138.63881694,2.34314697
1693958743.130801,00:05:43.130801,33,409049.87920994,541154.99123774,2.34382529
1693958757.213801,00:05:57.213801,35,409049.99709851,541188.02854548,2.34677571
1693958764.659801,00:06:04.659801,35,409050.23123210,541205.39210520,2.33884806
1693958771.865801,00:06:11.865801,36,409050.63522484,541222.15482341,2.33303270
1693958786.199801,00:06:26.199801,37,409051.19599530,541255.47422038,2.32717878
1693958793.101801,00:06:33.101801,38,409051.19629572,541271.42715941,2.31829792
1693958800.855801,00:06:40.855801,39,409051.08284568,541289.41739091,2.31964936
1693958815.196801,00:06:55.196801,40,409050.81226700,541322.70736894,2.32565792
1693958821.940801,00:07:01.940801,41,409050.45754402,541338.27567396,2.31875366
1693958836.814801,00:07:16.814801,42,409049.65205079,541372.78932676,2.32094140
1693958843.994801,00:07:23.994801,43,409049.22719833,541389.51593694,2.32705264
1693958850.638801,00:07:30.638801,44,409048.70963713,541404.96332941,2.32607960
1693958865.394801,00:07:45.394801,45,409047.69171854,541439.30382165,2.32663922
1693958872.253801,00:07:52.253801,46,409047.15120330,541455.25476751,2.32384957
1693958885.985801,00:08:05.985801,47,409046.56412049,541487.34717474,2.33032666
1693958893.659801,00:08:13.659801,48,409046.37603416,541505.40453443,2.33942063
1693958907.836801,00:08:27.836801,50,409045.90180203,541538.94252500,2.35686053
1693958914.538801,00:08:34.538801,50,409045.69120879,541554.80158243,2.35917348
1693958921.298801,00:08:41.298801,51,409045.43550468,541570.73010263,2.35438898
1693958936.255801,00:08:56.255801,52,409045.03402863,541605.97266778,2.35334907
1693958943.287801,00:09:03.287801,53,409044.99362147,541622.54551134,2.35681530
1693958957.328801,00:09:17.328801,55,409044.73397565,541655.37615022,2.34229541
1693958964.111801,00:09:24.111801,55,409044.82017012,541671.30338487,2.34465514
1693958971.475801,00:09:31.475801,56,409044.98461511,541688.70879182,2.35806156
1693958985.517801,00:09:45.517801,57,409045.20372774,541721.64352998,2.34869014
1693958993.032801,00:09:53.032801,58,409045.23182222,541739.28409967,2.35001384
1693959006.913801,00:10:06.913801,59,409045.28672009,541771.81864454,2.34587096
1693959013.817801,00:10:13.817801,60,409045.37195260,541787.96780301,2.34268892
1693959021.250801,00:10:21.250801,61,409045.38341220,541805.29494001,2.33467382
1693959035.290801,00:10:35.290801,62,409045.16825074,541838.17215253,2.34286732
1693959042.422801,00:10:42.422801,63,409045.09007554,541854.90574170,2.34475365
1693959056.819801,00:10:56.819801,64,409045.03521638,541888.64376737,2.34581498
1693959063.432801,00:11:03.432801,65,409045.05320518,541904.18344690,2.34916086
1693959070.829801,00:11:10.829801,66,409045.03332029,541921.50978280,2.34552453
1693959085.465801,00:11:25.465801,67,409045.04944425,541955.73021509,2.33841044
1693959092.610801,00:11:32.610801,68,409045.09042224,541972.47862245,2.34083622
1693959106.260801,00:11:46.260801,69,409044.88678206,542004.44546319,2.33972209
1693959113.535801,00:11:53.535801,70,409044.74835246,542021.56561853,2.34611724
1693959127.930801,00:12:07.930801,72,409044.62038235,542055.32791711,2.34864809
1693959134.796801,00:12:14.796801,72,409044.55639476,542071.35180093,2.34143700
1693959142.460801,00:12:22.460801,73,409044.48399325,542089.23934747,2.33784191
1693959156.200801,00:12:36.200801,74,409044.89220311,542121.36624719,2.33832951
1693959163.756801,00:12:43.756801,75,409044.95959196,542139.03640748,2.34135581
1693959170.640801,00:12:50.640801,76,409044.89678794,542155.04765321,2.33288682
1693959185.372801,00:13:05.372801,77,409044.93395487,542189.35848237,2.32762715
1693959192.349801,00:13:12.349801,78,409044.87061804,542205.65493204,2.33075597
1693959206.266801,00:13:26.266801,79,409044.71187717,542238.29945674,2.33883542
1693959213.828801,00:13:33.828801,80,409044.77641447,542256.09792628,2.34750758
1693959220.823801,00:13:40.823801,81,409044.82949305,542272.46833529,2.34393416
1693959235.170801,00:13:55.170801,82,409044.93791568,542306.06845965,2.34192086
1693959242.260801,00:14:02.260801,83,409045.09134752,542322.68902507,2.34233272
1693959256.236801,00:14:16.236801,84,409045.13336174,542355.46666255,2.34596515
1693959263.653801,00:14:23.653801,85,409045.05931148,542372.87300410,2.34752896
1693959277.841801,00:14:37.841801,87,409045.00947029,542406.09052958,2.33881032
1693959284.548801,00:14:44.548801,87,409045.08101363,542421.79446902,2.33891033
1693959291.796801,00:14:51.796801,88,409045.36847920,542438.81881060,2.34386919
1693959305.453801,00:15:05.453801,89,409045.77901814,542470.85399737,2.34512484
1693959313.133801,00:15:13.133801,90,409046.04137615,542488.85897937,2.34614210
1693959319.834801,00:15:19.834801,91,409046.11805397,542504.54544081,2.34243519
1693959334.272801,00:15:34.272801,92,409046.33075198,542538.37139525,2.34171860
1693959341.510801,00:15:41.510801,93,409046.37790165,542555.31653609,2.34122783
1693959356.017801,00:15:56.017801,94,409046.23320291,542589.24309172,2.34088360
1693959363.153801,00:16:03.153801,95,409046.07017814,542605.82527747,2.33229940
1693959377.557801,00:16:17.557801,97,409046.31044536,542639.37526526,2.33145965
1693959384.468801,00:16:24.468801,97,409046.33922511,542655.44635215,2.32803992
1693959391.879801,00:16:31.879801,98,409046.16463486,542672.70499434,2.32964559
1693959406.201801,00:16:46.201801,99,409045.89555707,542706.17952485,2.33721125
1693959413.287801,00:16:53.287801,100,409045.72100420,542722.70220322,2.33378774
1693959427.102801,00:17:07.102801,102,409045.31296489,542754.92600007,2.33259971
1693959434.536801,00:17:14.536801,102,409045.18673576,542772.30808587,2.33579291
1693959441.169801,00:17:21.169801,103,409045.25937653,542787.85311932,2.34090012
1693959455.958801,00:17:35.958801,104,409045.30729187,542822.40471692,2.33428343
1693959462.955801,00:17:42.955801,105,409045.25896753,542838.84482045,2.34127764
1693959477.416801,00:17:57.416801,107,409045.22319774,542872.82186360,2.34832631
1693959484.027801,00:18:04.027801,107,409045.28572576,542888.38350053,2.35118105
1693959498.468801,00:18:18.468801,109,409045.28959122,542922.28732819,2.34709403
1693959505.530801,00:18:25.530801,109,409045.25059486,542938.82609505,2.34572933
1693959512.802801,00:18:32.802801,110,409045.20938260,542955.78787751,2.33802508
1693959526.489801,00:18:46.489801,111,409045.31862882,542987.77419228,2.33724427
1693959533.608801,00:18:53.608801,112,409045.26910683,543004.42971368,2.33938758
1693959548.415801,00:19:08.415801,114,409045.31354737,543039.01265282,2.33599182
1693959555.780801,00:19:15.780801,114,409045.12411167,543056.16422219,2.33386160
1693959562.437801,00:19:22.437801,115,409044.78995793,543071.59398122,2.32369945
1693959576.956801,00:19:36.956801,116,409044.25359326,543105.55195851,2.33655932
1693959584.024801,00:19:44.024801,117,409043.84568118,543122.07199521,2.33795985
1693959598.519801,00:19:58.519801,119,409042.97813170,543155.92308850,2.33431590
1693959605.451801,00:20:05.451801,119,409042.66328990,543172.23918648,2.34572702
1693959612.539801,00:20:12.539801,120,409042.27556875,543188.89090462,2.34670664
1693959626.725801,00:20:26.725801,121,409041.83762985,543222.29959221,2.34858030
1693959633.495801,00:20:33.495801,122,409041.64058871,543238.26439019,2.35200739
1693959647.752801,00:20:47.752801,123,409041.25374035,543271.89530678,2.35385136
1693959655.010801,00:20:55.010801,124,409041.15425441,543289.06729432,2.36069562
1693959669.052801,00:21:09.052801,126,409041.36176237,543322.23637696,2.36148632
1693959675.955801,00:21:15.955801,126,409041.46434820,543338.51979180,2.36184991
1693959683.459801,00:21:23.459801,127,409041.49670379,543356.11265679,2.35254406
1693959697.331801,00:21:37.331801,128,409041.62145226,543388.53103371,2.34190020
1693959704.598801,00:21:44.598801,129,409041.83885402,543405.47961159,2.33905507
1693959718.549801,00:21:58.549801,131,409041.90850163,543437.95175667,2.33021760
1693959725.501801,00:22:05.501801,131,409041.87290472,543454.09527321,2.32581618
1693959733.373801,00:22:13.373801,132,409042.02866198,543472.41906663,2.32998920
1693959747.798801,00:22:27.798801,133,409042.25277685,543506.05543061,2.33192731
1693959754.778801,00:22:34.778801,134,409042.34166792,543522.41142960,2.33824765
1693959769.054801,00:22:49.054801,136,409042.73801708,543555.86404725,2.34414456
1693959776.191801,00:22:56.191801,136,409042.85085297,543572.59538003,2.34182006
1693959783.153801,00:23:03.153801,137,409042.94729205,543589.00141640,2.34964442
1693959796.713801,00:23:16.713801,138,409043.65832516,543621.04025002,2.35863675
1693959804.161801,00:23:24.161801,139,409043.97001126,543638.52823980,2.35362052
1693959818.310801,00:23:38.310801,141,409044.34614038,543671.69251211,2.34815251
1693959825.638801,00:23:45.638801,141,409044.33176171,543688.79929502,2.34119953
1693959832.849801,00:23:52.849801,142,409044.47369387,543705.61426313,2.33566993
1693959846.626801,00:24:06.626801,143,409044.94240274,543737.84007413,2.33725747
1693959854.158801,00:24:14.158801,144,409045.16656642,543755.38892133,2.33155519
1693959860.941801,00:24:20.941801,145,409045.44999578,543771.36185605,2.34439244
1693959875.282801,00:24:35.282801,146,409045.77032988,543804.88795240,2.34009375
1693959882.735801,00:24:42.735801,147,409045.75299682,543822.29957731,2.33919086
1693959897.062801,00:24:57.062801,148,409045.74723020,543855.72203214,2.33605725
1693959904.339801,00:25:04.339801,149,409045.68056035,543872.70210988,2.33528195
1693959918.124801,00:25:18.124801,151,409045.14070290,543904.78308065,2.32813745
1693959925.646801,00:25:25.646801,151,409044.87966054,543922.31688459,2.32674687
1693959932.831801,00:25:32.831801,152,409044.77146641,543939.18667943,2.33833751
1693959947.035801,00:25:47.035801,153,409044.34466592,543972.41004903,2.33500753
1693959953.881801,00:25:53.881801,154,409044.26364679,543988.53028448,2.34292183
1693959967.539801,00:26:07.539801,155,409044.29822547,544020.67119558,2.34667073
1693959974.850801,00:26:14.850801,156,409044.38517542,544037.95725019,2.35627587
1693959988.794801,00:26:28.794801,158,409044.37794745,544070.80494077,2.35440322
1693959996.028801,00:26:36.028801,158,409044.37733902,544087.78000410,2.34806946
