,,,V1 Easting,V1 Northing,V1 Bottom Speed
Time,Time,Shot,Value (Meters),Value (Meters),Value (Units per second)
1693467031.000000,07:30:31.000000,,411313.49692704,524657.40177491,2.18628148
1693467040.000000,07:30:40.000000,,411293.74866082,524657.19261917,2.19139740
1693467049.500000,07:30:49.500000,1,411272.86676766,524656.86352866,2.19948731
1693467059.500000,07:30:59.500000,2,411250.81350495,524656.69360174,2.21861108
1693467072.000000,07:31:12.000000,4,411223.46013237,524656.68370208,2.19566137
1693467081.500000,07:31:21.500000,5,411202.58648278,524656.65039303,2.19745303
1693467090.500000,07:31:30.500000,5,411182.84964539,524656.73938071,2.19195200
1693467100.500000,07:31:40.500000,6,411160.93366600,524657.02898671,2.19022972
1693467109.500000,07:31:49.500000,7,411141.16895081,524657.21984301,2.19661027
1693467119.500000,07:31:59.500000,8,411119.34210373,524657.77153788,2.18509880
1693467129.500000,07:32:09.500000,9,411097.45888497,524658.20848767,2.18852694
1693467142.500000,07:32:22.500000,11,411069.12716271,524659.09623501,2.18507006
1693467151.500000,07:32:31.500000,12,411049.60002114,524659.65389494,2.17305168
1693467161.500000,07:32:41.500000,13,411027.83646180,524660.47310928,2.17825272
1693467170.500000,07:32:50.500000,13,411008.32641198,524661.38034157,2.17464832
1693467180.500000,07:33:00.500000,14,410986.58571221,524662.45364383,2.18667878
1693467190.500000,07:33:10.500000,15,410965.00277497,524663.69213620,2.16927721
1693467200.500000,07:33:20.500000,16,410943.33148171,524664.91091088,2.16922093
1693467210.000000,07:33:30.000000,17,410922.76991631,524666.07836441,2.16858160
1693467223.500000,07:33:43.500000,19,410893.61071373,524667.99422303,2.15986904
1693467230.000000,07:33:50.000000,19,410879.48992919,524668.86950021,2.17366922
1693467242.500000,07:34:02.500000,21,410852.43963241,524670.74493556,2.17299957
1693467252.000000,07:34:12.000000,22,410831.95982932,524672.11376576,2.16445052
1693467262.000000,07:34:22.000000,23,410810.32244491,524673.53583174,2.16791319
1693467272.000000,07:34:32.000000,24,410788.70867919,524675.04783719,2.16783519
1693467282.000000,07:34:42.000000,25,410767.07453155,524676.72592311,2.16889868
1693467292.000000,07:34:52.000000,26,410745.40880965,524678.50913541,2.17334912
1693467302.000000,07:35:02.000000,27,410723.77018356,524680.40855544,2.17644033
1693467311.500000,07:35:11.500000,27,410703.23245429,524682.30261724,2.17258664
1693467321.500000,07:35:21.500000,28,410681.67415046,524684.35065572,2.16614658
1693467331.000000,07:35:31.000000,29,410661.23793220,524686.61576598,2.16316587
1693467340.500000,07:35:40.500000,30,410640.75231170,524688.95668166,2.17010088
1693467350.500000,07:35:50.500000,31,410619.17184257,524691.17198317,2.17104984
1693467363.000000,07:36:03.000000,33,410592.21501350,524694.42593877,2.18160446
1693467372.500000,07:36:12.500000,34,410571.85209655,524696.99946706,2.16569571
1693467382.500000,07:36:22.500000,35,410550.37491416,524699.58740418,2.16055276
1693467392.500000,07:36:32.500000,36,410528.89216041,524702.39063971,2.16320490
1693467402.500000,07:36:42.500000,37,410507.46262740,524705.33190958,2.16202591
1693467411.500000,07:36:51.500000,37,410488.18959045,524707.96791141,2.16468710
1693467422.000000,07:37:02.000000,39,410465.79478645,524711.19286935,2.16374563
1693467431.000000,07:37:11.000000,39,410446.69636220,524714.04962343,2.15719350
