,,,V1 Easting,V1 Northing,V1 Bottom Speed
Time,Time,Shot,Value (Meters),Value (Meters),Value (Units per second)
1693514876.000000,20:47:56.000000,,405545.35146083,621673.79349779,1.59690198
1693514888.500000,20:48:08.500000,1,405544.72689278,621693.90783190,1.61101459
1693514897.500000,20:48:17.500000,2,405544.31116547,621708.48703741,1.61845977
1693514907.000000,20:48:27.000000,3,405543.90280826,621724.09887861,1.63755318
1693514916.500000,20:48:36.500000,3,405543.33512487,621739.82228922,1.65183346
1693514926.000000,20:48:46.000000,4,405543.07497703,621755.63446497,1.65976905
1693514936.500000,20:48:56.500000,5,405543.26931202,621773.28256487,1.67331568
1693514946.000000,20:49:06.000000,6,405543.53316134,621789.28133082,1.68370917
1693514955.500000,20:49:15.500000,7,405543.84136564,621805.22614359,1.68109543
1693514968.000000,20:49:28.000000,9,405544.24746031,621825.74836802,1.64562253
1693514977.000000,20:49:37.000000,10,405544.46143723,621840.20424532,1.61872458
1693514986.500000,20:49:46.500000,10,405544.72294346,621855.44091200,1.61033550
1693514995.500000,20:49:55.500000,11,405544.94850318,621869.68774962,1.58975069
1693515005.500000,20:50:05.500000,12,405545.20032732,621885.42197870,1.57184063
1693515015.500000,20:50:15.500000,13,405545.31872407,621901.26594042,1.58024091
1693515027.500000,20:50:27.500000,15,405545.21404141,621920.40801882,1.59421415
1693515037.000000,20:50:37.000000,16,405545.25863673,621935.57617735,1.60009105
1693515047.000000,20:50:47.000000,17,405545.36250188,621951.59630751,1.60479341
1693515056.500000,20:50:56.500000,17,405545.43259931,621966.88113283,1.61130380
1693515065.500000,20:51:05.500000,18,405545.57181545,621981.35848307,1.60878564
1693515074.500000,20:51:14.500000,19,405545.69563812,621995.86383673,1.61035626
1693515087.500000,20:51:27.500000,21,405545.83630695,622016.78673979,1.60734532
1693515097.500000,20:51:37.500000,22,405545.88135452,622032.89612814,1.60955039
1693515107.500000,20:51:47.500000,23,405545.89060234,622048.98860594,1.61020853
1693515117.500000,20:51:57.500000,24,405546.04732296,622065.08271452,1.61016927
1693515127.500000,20:52:07.500000,25,405546.36878822,622081.13177343,1.60739723
1693515137.000000,20:52:17.000000,26,405546.46014040,622096.26229139,1.59714020
1693515146.500000,20:52:26.500000,26,405546.50438888,622111.47008654,1.60047546
1693515156.500000,20:52:36.500000,27,405546.54287378,622127.51327463,1.60374431
1693515166.500000,20:52:46.500000,28,405546.63323339,622143.52724978,1.60278912
1693515177.000000,20:52:57.000000,30,405546.61546456,622160.32197710,1.60145239
1693515186.500000,20:53:06.500000,30,405546.60257871,622175.52821299,1.59999748
1693515196.500000,20:53:16.500000,31,405546.63799515,622191.52764746,1.59973610
1693515205.500000,20:53:25.500000,32,405546.62239078,622205.90999552,1.59909161
1693515215.000000,20:53:35.000000,33,405546.59434177,622221.09406515,1.60181721
1693515227.500000,20:53:47.500000,35,405546.62899289,622241.14209982,1.60563879
1693515237.000000,20:53:57.000000,36,405546.54139813,622256.36103006,1.60440311
1693515246.000000,20:54:06.000000,36,405546.41053120,622270.78292509,1.59942022
1693515256.000000,20:54:16.000000,37,405546.30283685,622286.86249586,1.60472842
1693515265.500000,20:54:25.500000,38,405546.29256987,622302.07988115,1.60409679
1693515275.000000,20:54:35.000000,39,405546.32586316,622317.26912153,1.60342281
1693515288.000000,20:54:48.000000,41,405546.31144977,622338.01287687,1.60170144
1693515295.000000,20:54:55.000000,41,405546.24209495,622349.13483274,1.59371435
1693515305.000000,20:55:05.000000,42,405546.31568499,622365.11374796,1.59648023
1693515318.500000,20:55:18.500000,44,405546.25493996,622386.63102854,1.59223864
1693515327.500000,20:55:27.500000,45,405546.25889040,622400.98421228,1.59682351
1693515336.500000,20:55:36.500000,45,405546.30244537,622415.29197634,1.59328151
1693515346.500000,20:55:46.500000,46,405546.40374664,622431.20515001,1.59401421
1693515355.500000,20:55:55.500000,47,405546.43165976,622445.44362390,1.58330075
1693515365.000000,20:56:05.000000,48,405546.62147285,622460.52904260,1.58623302
1693515378.000000,20:56:18.000000,50,405546.92754371,622481.09745920,1.58212980
1693515388.000000,20:56:28.000000,51,405547.15063862,622497.01326025,1.59059567
1693515395.000000,20:56:35.000000,51,405547.24747164,622508.08205450,1.58702453
1693515408.000000,20:56:48.000000,53,405547.67173450,622528.59454954,1.57986683
1693515417.500000,20:56:57.500000,54,405547.80856928,622543.55038393,1.57671815
1693515426.500000,20:57:06.500000,54,405548.02780624,622557.75906599,1.57836933
1693515435.500000,20:57:15.500000,55,405548.33618285,622572.03461397,1.58795401
1693515447.500000,20:57:27.500000,57,405548.50343515,622591.14963091,1.59390248
1693515457.000000,20:57:37.000000,58,405548.53141403,622606.26692999,1.59275143
1693515466.500000,20:57:46.500000,58,405548.60491947,622621.33239687,1.58992201
1693515478.500000,20:57:58.500000,60,405548.64456224,622640.38003811,1.59368308
1693515487.500000,20:58:07.500000,61,405548.76705017,622654.66501793,1.59153765
1693515497.000000,20:58:17.000000,62,405548.83655033,622669.78982911,1.59450566
1693515506.500000,20:58:26.500000,62,405548.83819579,622684.89580998,1.58799888
1693515516.500000,20:58:36.500000,63,405548.87473647,622700.87390789,1.59629461
1693515526.500000,20:58:46.500000,64,405548.85591458,622716.80732903,1.59336949
1693515536.500000,20:58:56.500000,65,405548.77586209,622732.58173165,1.58070512
