,,,V1 Easting,V1 Northing,V1 Bottom Speed
Time,Time,Shot,Value (Meters),Value (Meters),Value (Units per second)
1695081604.348801,00:00:04.348801,,417295.16157141,542239.39073765,2.35800667
1695081611.343801,00:00:11.343801,,417294.98018276,542255.89191448,2.35806828
1695081617.919801,00:00:17.919801,1,417294.60400679,542271.39721310,2.35788184
1695081632.401801,00:00:32.401801,2,417293.88940545,542305.57106411,2.35759720
1695081639.382801,00:00:39.382801,3,417293.57042211,542322.08039867,2.36091879
1695081653.722801,00:00:53.722801,4,417292.60668641,542355.93328106,2.36071213
1695081660.576801,00:01:00.576801,5,417292.18768814,542372.09336292,2.35955830
1695081674.480801,00:01:14.480801,7,417291.21909209,542404.90733158,2.36093958
1695081681.177801,00:01:21.177801,7,417290.62152352,542420.70800507,2.36164856
1695081688.285801,00:01:28.285801,8,417290.01179626,542437.44536125,2.36051851
1695081703.271801,00:01:43.271801,9,417288.82576945,542472.71314156,2.35789277
1695081710.130801,00:01:50.130801,10,417288.36335602,542488.95021545,2.36529874
1695081723.971801,00:02:03.971801,11,417287.66636297,542521.51632797,2.35613399
1695081731.595801,00:02:11.595801,12,417287.24730253,542539.44789993,2.35468223
1695081738.485801,00:02:18.485801,13,417286.87722131,542555.69192230,2.35671422
1695081752.291801,00:02:32.291801,14,417286.19227841,542588.14594757,2.35235858
1695081758.953801,00:02:38.953801,15,417285.91841041,542603.82968056,2.35220159
1695081773.510801,00:02:53.510801,16,417285.52802815,542638.21584618,2.35667028
1695081780.576801,00:03:00.576801,17,417285.57684170,542654.92497551,2.35990935
1695081787.863801,00:03:07.863801,18,417285.51898080,542672.15562927,2.36263102
1695081802.053801,00:03:22.053801,19,417285.22192438,542705.65469148,2.36127694
1695081809.008801,00:03:29.008801,20,417285.15156727,542721.99789789,2.35659242
1695081823.392801,00:03:43.392801,21,417284.75108631,542755.82870462,2.35031240
1695081830.078801,00:03:50.078801,22,417284.66535601,542771.69365575,2.35974433
1695081844.587801,00:04:04.587801,23,417284.53008253,542806.08125570,2.36562018
1695081851.154801,00:04:11.154801,24,417284.48384206,542821.64296606,2.36812203
1695081865.608801,00:04:25.608801,26,417284.08076026,542855.69038274,2.35567701
1695081872.487801,00:04:32.487801,26,417283.82176672,542871.80156591,2.34593704
1695081879.125801,00:04:39.125801,27,417283.72673099,542887.53378275,2.35524201
1695081893.866801,00:04:53.866801,28,417283.71405186,542922.60597208,2.37350664
1695081900.576801,00:05:00.576801,29,417283.70850138,542938.55435827,2.37683485
1695081914.866801,00:05:14.866801,30,417283.38102542,542972.33573415,2.36810772
1695081921.749801,00:05:21.749801,31,417283.21476285,542988.59691503,2.36791872
1695081928.997801,00:05:28.997801,32,417283.19521663,543005.66488340,2.36257462
1695081942.875801,00:05:42.875801,33,417282.85929996,543038.16904905,2.34521645
1695081949.979801,00:05:49.979801,34,417282.86645898,543055.05022504,2.35696280
1695081964.345801,00:06:04.345801,35,417282.68334530,543089.20232465,2.37305906
1695081971.106801,00:06:11.106801,36,417282.61125120,543105.12926462,2.36576922
1695081985.591801,00:06:25.591801,38,417282.19087588,543139.24127176,2.35887172
1695081992.240801,00:06:32.240801,38,417281.95185144,543154.89843061,2.35894545
1695081999.046801,00:06:39.046801,39,417281.51630502,543170.87620132,2.35504556
1695082013.800801,00:06:53.800801,40,417280.78334587,543205.59723632,2.35360134
1695082020.809801,00:07:00.809801,41,417280.50604852,543222.18764083,2.35878359
1695082034.782801,00:07:14.782801,42,417280.14249232,543255.18797653,2.36265625
1695082041.602801,00:07:21.602801,43,417279.78496730,543271.21692626,2.35775910
1695082056.179801,00:07:36.179801,45,417278.68764424,543305.53111617,2.35563909
1695082062.772801,00:07:42.772801,45,417278.44110230,543321.06024139,2.35647706
1695082069.881801,00:07:49.881801,46,417278.15934876,543337.75148933,2.35230326
1695082084.506801,00:08:04.506801,47,417277.24539784,543372.25257652,2.35752540
1695082091.404801,00:08:11.404801,48,417276.84544007,543388.61294143,2.36456022
1695082105.574801,00:08:25.574801,49,417276.06318859,543422.16769378,2.36941329
1695082112.749801,00:08:32.749801,50,417275.60970087,543439.09052818,2.36582695
1695082126.293801,00:08:46.293801,52,417274.92471821,543470.95381515,2.35695012
1695082133.597801,00:08:53.597801,52,417274.63517512,543488.10399406,2.34892668
1695082140.819801,00:09:00.819801,53,417274.43366007,543505.14963119,2.35518047
1695082154.652801,00:09:14.652801,54,417273.97982890,543537.82468383,2.36015885
1695082162.408801,00:09:22.408801,55,417273.68973703,543556.11889808,2.36104890
1695082176.123801,00:09:36.123801,57,417273.43672968,543588.36566703,2.35372797
1695082183.403801,00:09:43.403801,57,417273.35127297,543605.45164649,2.34891175
1695082190.636801,00:09:50.636801,58,417273.15019669,543622.33607833,2.34015708
1695082204.918801,00:10:04.918801,59,417273.00834700,543656.13218754,2.36153779
1695082212.002801,00:10:12.002801,60,417273.04000740,543672.90849751,2.36677881
