,,,V1 Easting,V1 Northing,V1 Bottom Speed
Time,Time,Shot,Value (Meters),Value (Meters),Value (Units per second)
1694995205.408801,00:00:05.408801,,416547.41258514,551873.12365231,2.35707921
1694995212.109801,00:00:12.109801,,416547.43085266,551888.94532189,2.35876256
1694995226.565801,00:00:26.565801,1,416547.39578828,551922.97371468,2.35467885
1694995233.175801,00:00:33.175801,2,416547.42439100,551938.52197918,2.35282388
1694995247.213801,00:00:47.213801,4,416547.49559699,551971.54098782,2.34901748
1694995254.167801,00:00:54.167801,4,416547.62075168,551987.90630802,2.34994452
1694995262.018801,00:01:02.018801,5,416547.74375783,552006.36642918,2.35131340
1694995276.072801,00:01:16.072801,6,416547.93962771,552039.43086704,2.35198497
1694995282.826801,00:01:22.826801,7,416548.19038362,552055.31818375,2.35147681
1694995297.164801,00:01:37.164801,9,416548.34402976,552089.11488709,2.35668617
1694995304.139801,00:01:44.139801,9,416548.52358662,552105.65049347,2.36510983
1694995317.880801,00:01:57.880801,11,416548.97257234,552137.97119126,2.35585630
1694995324.797801,00:02:04.797801,11,416549.32871340,552154.35843834,2.36243125
1694995332.322801,00:02:12.322801,12,416549.56675619,552172.09651360,2.36035042
1694995346.499801,00:02:26.499801,13,416549.79784684,552205.58127007,2.36019762
1694995353.330801,00:02:33.330801,14,416549.83901070,552221.66004738,2.35652515
1694995367.965801,00:02:47.965801,16,416550.46819787,552256.38900170,2.36900661
1694995374.495801,00:02:54.495801,16,416550.70917411,552271.87489304,2.37180310
1694995388.611801,00:03:08.611801,18,416551.17560967,552305.26431259,2.36826306
1694995395.757801,00:03:15.757801,18,416551.41496790,552322.21229347,2.37058054
1694995403.214801,00:03:23.214801,19,416551.61775505,552339.82602599,2.36696703
1694995417.231801,00:03:37.231801,20,416551.91356962,552372.92553618,2.36230195
1694995424.362801,00:03:44.362801,21,416552.04391935,552389.79920676,2.36409509
1694995438.172801,00:03:58.172801,23,416552.31892144,552422.46452430,2.36675665
