,,,V1 Easting,V1 Northing,V1 Bottom Speed
Time,Time,Shot,Value (Meters),Value (Meters),Value (Units per second)
1694476802.000000,00:00:02.000000,,425305.42703513,613546.54999828,1.65278686
1694476808.500000,00:00:08.500000,,425305.62278666,613535.78390407,1.65648714
1694476818.500000,00:00:18.500000,1,425305.81844004,613519.17300319,1.65611914
1694476827.500000,00:00:27.500000,2,425305.95816899,613504.27025794,1.65325572
1694476837.000000,00:00:37.000000,3,425306.01818617,613488.44902324,1.66164814
1694476847.000000,00:00:47.000000,4,425306.20975687,613471.87426853,1.65631472
1694476860.000000,00:01:00.000000,6,425306.12597241,613450.18746662,1.66793866
1694476869.500000,00:01:09.500000,7,425306.12420907,613434.40339565,1.65836841
1694476879.000000,00:01:19.000000,8,425306.17739826,613418.52057552,1.66731000
1694476888.500000,00:01:28.500000,8,425306.17984561,613402.62929248,1.67419178
1694476897.500000,00:01:37.500000,9,425306.15524497,613387.73432445,1.65969018
1694476907.500000,00:01:47.500000,10,425306.10075255,613371.04486370,1.66999621
1694476919.500000,00:01:59.500000,12,425306.10649780,613351.15102291,1.65939601
1694476928.500000,00:02:08.500000,12,425306.04471076,613336.11719799,1.67212372
1694476938.000000,00:02:18.000000,13,425305.83053556,613320.23340320,1.67441835
1694476948.000000,00:02:28.000000,14,425305.76527170,613303.55198383,1.67365302
1694476957.500000,00:02:37.500000,15,425305.70328887,613287.70994091,1.66524409
1694476970.000000,00:02:50.000000,17,425305.59232902,613266.93418979,1.65246597
1694476979.000000,00:02:59.000000,18,425305.83614788,613252.13242721,1.64717257
1694476988.000000,00:03:08.000000,18,425305.99137328,613237.52564239,1.63482873
1694476998.500000,00:03:18.500000,19,425306.11445576,613220.53196756,1.62606948
1694477008.500000,00:03:28.500000,20,425306.12111019,613204.42361109,1.61811094
1694477018.000000,00:03:38.000000,21,425306.10580658,613189.15741102,1.60818264
1694477028.000000,00:03:48.000000,22,425306.09884283,613173.01829283,1.61405500
1694477037.500000,00:03:57.500000,23,425306.10211591,613157.69662802,1.61841758
